action	year	country	count
identified	0.0	Brazil	1
identified	1896.0	Costa Rica	1
identified	1952.0	Brazil	1
identified	1962.0	Brazil	4
identified	1963.0	Mexico	6
identified	1964.0	Brazil	1
identified	1964.0	Mexico	24
identified	1965.0	Brazil	3
identified	1966.0	Brazil	5
identified	1967.0	Brazil	5
identified	1968.0	Brazil	5
identified	1969.0	Brazil	3
identified	1971.0	Brazil	3
identified	1971.0	Panama	1
identified	1972.0	Brazil	14
identified	1973.0	Brazil	5
identified	1974.0	Brazil	3
identified	1976.0	Brazil	12
identified	1978.0	Brazil	3
identified	1979.0	Brazil	1
identified	1980.0	Brazil	1
identified	1982.0	Mexico	1
identified	1995.0	Brazil	1
identified	1997.0	Brazil	1
recorded	0.0	Argentina	1
recorded	0.0	Brazil	2
recorded	1872.0	Brazil	1
recorded	1877.0	Brazil	1
recorded	1912.0	Costa Rica	1
recorded	1946.0	Brazil	4
recorded	1949.0	Argentina	1
recorded	1950.0	Argentina	1
recorded	1953.0	Argentina	1
recorded	1954.0	Argentina	6
recorded	1954.0	Brazil	1
recorded	1955.0	Argentina	6
recorded	1956.0	Argentina	5
recorded	1957.0	Argentina	3
recorded	1958.0	Argentina	2
recorded	1961.0	Argentina	7
recorded	1962.0	Argentina	6
recorded	1964.0	Mexico	3
recorded	1965.0	Argentina	7
recorded	1965.0	Mexico	2
recorded	1966.0	Costa Rica	238
recorded	1967.0	Brazil	97
recorded	1968.0	Brazil	333
recorded	1968.0	Costa Rica	56
recorded	1968.0	Panama	129
recorded	1968.0	Venezuela	4
recorded	1969.0	Brazil	2
recorded	1970.0	Brazil	2
recorded	1971.0	Panama	143
recorded	1972.0	Brazil	936
recorded	1973.0	Brazil	3
recorded	1973.0	United States	4
recorded	1974.0	Brazil	76
recorded	1975.0	Brazil	13
recorded	1976.0	Brazil	1229
recorded	1977.0	Brazil	56
recorded	1978.0	Brazil	84
recorded	1978.0	Indonesia	19
recorded	1978.0	United States	2
recorded	1979.0	Brazil	2349
recorded	1979.0	Colombia	2
recorded	1979.0	United States	2
recorded	1980.0	Brazil	9
recorded	1981.0	Brazil	7
recorded	1981.0	Colombia	88
recorded	1982.0	Brazil	1
recorded	1982.0	Ecuador	40
recorded	1983.0	Brazil	2
recorded	1984.0	Brazil	1
recorded	1986.0	Brazil	1
recorded	1988.0	Brazil	3
recorded	1991.0	Brazil	1
recorded	1992.0	Brazil	2
recorded	1992.0	Mexico	2
recorded	1993.0	Brazil	4
recorded	1994.0	Brazil	2
recorded	1994.0	Colombia	2
recorded	1995.0	Brazil	2
recorded	1997.0	Brazil	6
recorded	1999.0	Guatemala	1
recorded	2001.0	Brazil	3
recorded	2004.0	Colombia	1
recorded	2006.0	Brazil	1
