action	year	country	count
identified	1791	Peru	1
identified	1797	Porto Rico	1
identified	1800	Guyana	1
identified	1801	Brazil	2
identified	1816	Brazil	27
identified	1816	Uruguay	2
identified	1817	Brazil	2
identified	1818	França	1
identified	1821	Brazil	2
identified	1822	Brazil	2
identified	1824	Brazil	2
identified	1825	Brazil	1
identified	1825	United States	1
identified	1826	Mauritius	1
identified	1827	Brazil	11
identified	1827	Haiti	1
identified	1827	St Domingue	1
identified	1827	Suriname	3
identified	1829	Chili	4
identified	1830	Brazil	2
identified	1831	Peru	1
identified	1832	United States	2
identified	1833	Brazil	3
identified	1833	United States	4
identified	1834	Brazil	1
identified	1835	Brazil	1
identified	1835	Mexico	1
identified	1835	United States	3
identified	1836	Brazil	8
identified	1837	Brazil	3
identified	1837	Ethiopia	1
identified	1837	Mexico	1
identified	1837	United States	2
identified	1838	Brazil	11
identified	1838	United States	1
identified	1839	Brazil	11
identified	1839	United States	2
identified	1840	Brazil	24
identified	1840	Mexico	1
identified	1840	United States	2
identified	1840	French Guiana	2
identified	1841	Brazil	12
identified	1841	Mexico	26
identified	1841	Suriname	1
identified	1842	French Guiana	3
identified	1842	Mexico	3
identified	1842	United States	9
identified	1843	Brazil	1
identified	1843	Democratic Republic of the Congo	1
identified	1843	Mexico	1
identified	1843	United States	1
identified	1844	Brazil	2
identified	1844	Paraguay	3
identified	1844	Suriname	2
identified	1845	Brazil	3
identified	1845	Mexico	2
identified	1845	United States	1
identified	1847	India	1
identified	1847	Mauritius	1
identified	1847	United States	4
identified	1848	Brazil	1
identified	1848	United States	1
identified	1849	Brazil	6
identified	1849	United States	4
identified	1850	Brazil	7
identified	1850	United States	1
identified	1851	Brazil	12
identified	1851	Chile	3
identified	1851	India	1
identified	1851	Mexico	2
identified	1851	United States	4
identified	1852	Brazil	2
identified	1852	Guadeloupe	1
identified	1852	United States	3
identified	1853	Mexico	2
identified	1853	United States	4
identified	1854	Mexico	1
identified	1854	Peru	2
identified	1854	Venezuela	1
identified	1855	Mexico	1
