action	year	country	count
identified	1783	Colombia	1
identified	1799	Venezuela	3
identified	1801	Colombia	1
identified	1801	Peru	1
identified	1802	Ecuador	3
identified	1802	Peru	1
identified	1806	Spain	1
identified	1813	Ecuador	1
identified	1825	Senegal	6
identified	1825	Senegambie	4
identified	1826	Ecuador	1
identified	1827	Mexico	1
identified	1828	Senegal	1
identified	1828	Senegambie	1
identified	1829	Senegambie	3
identified	1830	Peru	1
identified	1830	Senegambie	3
identified	1832	Peru	1
identified	1836	Brazil	1
identified	1837	Ethiopia	3
identified	1838	Ethiopia	4
identified	1838	Peru	4
identified	1839	Ethiopia	6
identified	1839	Sudan	10
identified	1840	Ethiopia	4
identified	1840	Madagascar	3
identified	1841	Australia	1
identified	1841	Madagascar	2
identified	1841	Mexico	4
identified	1842	Ethiopia	3
identified	1842	Ecuador	1
identified	1842	Mexico	1
identified	1843	Guyana	1
identified	1843	Colombia	2
identified	1844	Guyana	1
identified	1844	Colombia	4
identified	1846	Ecuador	2
identified	1847	Ethiopia	1
identified	1847	Peru	2
identified	1848	Ecuador	1
identified	1848	Gabon	1
identified	1848	Madagascar	3
identified	1848	Nicaragua	1
identified	1848	Senegambie	1
identified	1849	Ethiopia	1
identified	1850	Ecuador	1
identified	1850	Senegambie	2
identified	1851	Cap Vert	1
identified	1853	Ethiopia	4
identified	1853	Angola	2
identified	1853	Madagascar	1
identified	1854	Ethiopia	3
identified	1854	Angola	3
identified	1854	Ecuador	1
identified	1854	Peru	19
identified	1854	Venezuela	1
identified	1854	Chile	4
identified	1854	Mexico	1
identified	1854	Peru	6
identified	1855	Angola	2
identified	1856	Ethiopia	2
identified	1856	Angola	1
identified	1856	Ecuador	1
identified	1857	Angola	1
identified	1857	Bolivie	1
identified	1857	Ecuador	2
identified	1858	Angola	1
identified	1858	Bolivia	2
identified	1858	Bolivie	1
identified	1858	Ecuador	1
identified	1859	Bolivie	2
identified	1860	Angola	1
identified	1860	Eritrea	1
identified	1862	Nigeria	1
identified	1863	Ecuador	2
identified	1864	Ecuador	2
identified	1864	Senegal	3
identified	1864 - 1870	Mexico	1
identified	1865	Mexico	1
identified	1867	Ecuador	1
identified	1867	Tanzania	1
identified	1868	Nicaragua	1
identified	1868	Venezuela	1
identified	1869	Sudan	4
identified	1871	Ecuador	2
identified	1873	Tanzania	1
identified	1875	Peru	1
identified	1875	Sudan	1
identified	1876	Colombia	1
identified	1876	Ecuador	2
identified	1877	Greece	1
identified	1878	Mexico	2
identified	1878	Tanzania	1
identified	1879	Madagascar	3
identified	1880	Ecuador	2
identified	1880	Madagascar	3
identified	1881	Ecuador	2
identified	1881	Yemen	1
identified	1883	Gabon	3
identified	1883	Somalies	2
identified	1883	Tanzania	2
identified	1884	Gabon	2
identified	1885	Bolivia	2
identified	1885	Mexico	2
identified	1886	Mexico	3
identified	1887	Ecuador	1
identified	1887	Madagascar	1
identified	1888	Democratic Republic of the Congo	1
identified	1888	Gabon	1
identified	1888	Paraguay	1
identified	1889	Madagascar	1
identified	1889	Mexico	2
identified	1890	Mexico	7
identified	1890	Tanzania	1
identified	1891	Bolivia	1
identified	1891	Democratic Republic of the Congo	4
identified	1891	Mexico	2
identified	1891	Tanzania	2
identified	1892	Bolivia	1
identified	1892	Guatemala	1
identified	1892	Mexico	1
identified	1893	Democratic Republic of the Congo	1
identified	1893	Mexico	2
identified	1893	Mozambique	4
identified	1893	Tanzania	1
identified	1893	Tanzania	3
identified	1894	Bolivia	2
identified	1894	Democratic Republic of the Congo	1
identified	1894	Ecuador	1
identified	1894	Mexico	12
identified	1894	Tanzania	1
identified	1894 - 1895	Mexico	1
identified	1895	Afrique australe	1
identified	1895	Gabon	3
identified	1895	Mexico	7
identified	1895	Malawi	1
identified	1896	Guatemala	2
identified	1896	French Guinea	1
identified	1897	Ecuador	5
identified	1897	Mexico	1
identified	1897	Tanzania	1
identified	1898	Costa Rica	1
identified	1898	Madagascar	2
identified	1898	Malawi	1
identified	1898	Sudan	1
identified	1898	Senegal	2
identified	1899	Colombia	1
identified	1899	Democratic Republic of the Congo	1
identified	1899	French Guinea	6
identified	1899	Mali	6
identified	1899	Sudan	2
identified	1899	Senegal	2
identified	1900	Gabon	1
identified	1900	French Guinea	2
identified	1900	Madagascar	1
identified	1900	Mexico	1
identified	1900	Senegal	3
identified	1901	Ethiopia	1
identified	1901	Argentina	3
identified	1901	Bolivia	1
identified	1901	Côte d'Ivoire	2
identified	1901	Benin	2
identified	1901	Mexico	7
identified	1902	Central African Republic	5
identified	1902	French Guinea	3
identified	1902	Mexico	8
identified	1902	Peru	3
identified	1902	South Africa	1
identified	1903	Central African Republic	1
identified	1903	Ecuador	1
identified	1903	Democratic Republic of the Congo	1
identified	1903	Kenya	1
identified	1903	Madagascar	3
identified	1903	Chad	7
identified	1903	Central African Republic	1
identified	1904	Ecuador	2
identified	1904	Mexico	2
identified	1904	Mozambique	2
identified	1904	Tanzania	1
identified	1905	Cameroon	1
identified	1905	Eritrea	1
identified	1905	Ethiopia	1
identified	1905	Guatemala	1
identified	1905	French Guinea	7
identified	1905	Kenya	2
identified	1905	Madagascar	3
identified	1905	Mexico	3
identified	1905	Mozambique	1
identified	1905	Peru	1
identified	1906	Colombia	1
identified	1906	Ecuador	1
identified	1906	Ethiopia	1
identified	1906	Kenya	2
identified	1906	Madagascar	1
identified	1906	Mexico	3
identified	1906	Niger	1
identified	1906	Sudan	1
identified	1907	Gabon	4
identified	1907	French Guinea	6
identified	1907	Madagascar	1
identified	1907	Mexico	3
identified	1908	Bolivia	1
identified	1908	Madagascar	3
identified	1908	Mexico	3
identified	1908	Niger	2
identified	1908	Tanzania	3
identified	1908	Democratic Republic of the Congo	2
identified	1909	Côte d'Ivoire	4
identified	1909	French Guinea	15
identified	1909	Kenya	2
identified	1909	Mexico	2
identified	1909	Peru	1
identified	1910	Bolivia	1
identified	1910	Malawi	5
identified	1910	Kenya	3
identified	1910	Madagascar	10
identified	1910	Mexico	10
identified	1910	Sudan	2
identified	1910	Democratic Republic of the Congo	1
identified	1911	Malawi	1
identified	1911	Madagascar	2
identified	1911	Mexico	1
identified	1911	Peru	1
identified	1912	Australia	1
identified	1912	Congo	3
identified	1912	Madagascar	8
identified	1912	Mexico	1
identified	1912	Peru	1
identified	1913	Democratic Republic of the Congo	1
identified	1913	Madagascar	2
identified	1913	Mali	1
identified	1914	Argentina	1
identified	1914	Peru	1
identified	1914	Sierra Leone	1
identified	1914	United States	1
identified	1915	Guatemala	1
identified	1915	Uganda	1
identified	1915	Peru	1
identified	1916	Mali	1
identified	1916	Uganda	1
identified	1917	Colombia	1
identified	1917	Democratic Republic of the Congo	1
identified	1917	Madagascar	2
identified	1918	Cameroon	1
identified	1918	Democratic Republic of the Congo	1
identified	1918	Ecuador	5
identified	1918	Sudan	1
identified	1919	Democratic Republic of the Congo	1
identified	1919	Peru	2
identified	1919	Uganda	1
identified	1920	Ecuador	6
identified	1920	Madagascar	3
identified	1920	Mozambique	1
identified	1921	Bolivia	4
identified	1921	Central African Republic	10
identified	1921	Madagascar	6
identified	1921	Zambia	1
identified	1922	Bolivia	1
identified	1922	Colombia	2
identified	1922	Costa Rica	1
identified	1922	El Salvador	1
identified	1922	Madagascar	4
identified	1922	Central African Republic	2
identified	1922	Peru	10
identified	1922	Chad	1
identified	1923	Brazil	1
identified	1923	Ecuador	18
identified	1923	Madagascar	1
identified	1923	Central African Republic	2
identified	1923	Peru	2
identified	1924	Australia	1
identified	1924	Madagascar	26
identified	1924	Mexico	1
identified	1925	Democratic Republic of the Congo	1
identified	1925	Mexico	1
identified	1925	Central African Republic	2
identified	1925	Peru	2
identified	1926	Democratic Republic of the Congo	2
identified	1926	Costa Rica	1
identified	1926	Madagascar	6
identified	1926	Mexico	4
identified	1926	Mozambique	1
identified	1926	Peru	3
identified	1927	Argentina	1
identified	1927	Cameroon	2
identified	1927	Costa Rica	2
identified	1927	Côte d'Ivoire	1
identified	1927	Ecuador	1
identified	1927	Gambia	2
identified	1927	Mexico	2
identified	1927	Nigeria	1
identified	1928	Ecuador	7
identified	1928	Guatemala	1
identified	1928	Kenya	1
identified	1928	Madagascar	24
identified	1928	Mali	1
identified	1928	Niger	2
identified	1928	Central African Republic	3
identified	1928	Venezuela	1
identified	1929	Bolivia	1
