action	year	country	count
identified	1853	Australia	1
identified	1879	Barbados	1
identified	1880	United States	1
identified	1884	Venezuela	1
identified	1885	Spain	1
identified	1885	United States	2
identified	1887	Madagascar	1
identified	1888	United States	3
identified	1889	United States	6
identified	1890	United States	9
identified	1891	Costa Rica	1
identified	1897	United States	2
identified	1899	Indonesia	9
identified	1899	Philippines	1
identified	1899	United States	3
identified	1900	Indonesia	2
identified	1900	Japan	4
identified	1900	Norway	1
identified	1901	Norway	2
identified	1902	Norway	1
identified	1902	United States	9
identified	1903	Norway	3
identified	1903	United States	1
identified	1904	United States	4
identified	1906	Japan	7
identified	1908	Norway	1
identified	1908	Philippines	4
identified	1909	Indonesia	3
identified	1909	Philippines	15
identified	1910	Norway	1
identified	1911	Norway	1
identified	1912	Norway	1
identified	1912	United States	2
identified	1913	Norway	2
identified	1914	Australia	5
identified	1915	Norway	1
identified	1915	United States	2
identified	1916	United States	2
identified	1920	Brazil	1
identified	1921	Norway	1
identified	1922	Indonesia	2
identified	1922	Norway	6
identified	1922	United States	18
identified	1923	Norway	16
identified	1924	Norway	6
identified	1924	United States	2
identified	1925	Brazil	1
identified	1925	Norway	6
identified	1925	United States	1
identified	1926	Norway	6
identified	1928	Egypt	1
identified	1928	Norway	2
identified	1929	Indonesia	4
identified	1929	Japan	2
identified	1929	Norway	6
identified	1930	Norway	1
identified	1930	United States	1
identified	1931	Norway	4
identified	1932	Canada	2
identified	1932	Norway	9
identified	1932	United States	6
identified	1933	British Virgin Islands	1
identified	1933	Norway	8
identified	1933	Puerto Rico	1
identified	1934	Canada	4
identified	1934	Ecuador	1
identified	1934	Norway	5
identified	1934	United States	5
identified	1935	Norway	5
identified	1935	United States	3
identified	1936	Canada	5
identified	1936	Mexico	1
identified	1936	Norway	3
identified	1936	United States	2
identified	1937	Norway	9
identified	1937	United States	2
identified	1938	Norway	1
identified	1938	United States	3
identified	1939	United States	8
identified	1940	United States	1
identified	1941	United States	2
identified	1942	Norway	1
identified	1943	Australia	1
identified	1943	Canada	1
identified	1945	Canada	1
identified	1945	United States	1
identified	1946	Canada	1
identified	1948	Australia	1
identified	1948	United States	1
identified	1949	Mexico	1
identified	1949	United States	4
identified	1950	Canada	14
identified	1950	United States	1
identified	1951	Canada	6
identified	1951	Norway	19
identified	1951	United States	7
identified	1952	Canada	5
identified	1952	Norway	1
identified	1952	United States	4
identified	1954	Canada	1
identified	1954	Norway	4
identified	1954	United States	2
identified	1955	Norway	5
identified	1956	Canada	2
identified	1956	Norway	5
identified	1956	United States	5
identified	1957	Brazil	4
identified	1957	Norway	8
identified	1957	United States	11
identified	1957	Venezuela	2
identified	1958	French Guiana	1
identified	1958	Norway	38
identified	1958	St. Helena	1
identified	1958	Suriname	1
identified	1958	United States	18
identified	1959	Canada	5
identified	1959	China	3
identified	1959	Mexico	2
identified	1959	Norway	11
identified	1959	United States	149
identified	1960	China	1
identified	1960	Marshall Islands	2
identified	1960	Norway	35
identified	1960	United States	230
identified	1961	Bahamas	2
identified	1961	Canada	6
identified	1961	United States	322
identified	1962	Canada	5
identified	1962	Mexico	1
identified	1962	Netherlands Antilles	1
identified	1962	Norway	6
identified	1962	United States	93
identified	1963	American Samoa	1
identified	1963	Brazil	5
identified	1963	Burma	4
identified	1963	Canada	2
identified	1963	Colombia	1
identified	1963	Dominican Republic	1
identified	1963	Fiji	1
identified	1963	French Guiana	1
identified	1963	French Polynesia	1
identified	1963	India	10
identified	1963	Indonesia	1
identified	1963	Iran	4
identified	1963	Madagascar	8
identified	1963	Malaysia	1
identified	1963	Mauritius	3
identified	1963	Mexico	2
identified	1963	Netherlands Antilles	1
