action	year	country	count
identified	1800	United States	1
identified	1925	Mexico	2
identified	1926	Mexico	7
identified	1927	Mexico	10
identified	1930	Brazil	10
identified	1931	Peru	4
identified	1932	Peru	2
identified	1936	Ecuador	3
identified	1937	Mexico	22
identified	1938	Mexico	10
identified	1946	Brazil	1
recorded	1916	Bolivia	1
recorded	1917	Mexico	1
recorded	1919	Mexico	1
recorded	1920	Bolivia	1
recorded	1920	Brazil	6
recorded	1920	Mexico	3
recorded	1920	United States	1
recorded	1921	Brazil	1
recorded	1921	Mexico	3
recorded	1922	Bolivia	1
recorded	1922	Mexico	55
recorded	1923	Brazil	2
recorded	1923	Mexico	10
recorded	1923	Peru	1
recorded	1923	United States	1
recorded	1924	Ecuador	2
recorded	1924	Mexico	1
recorded	1924	United States	1
recorded	1925	Argentina	1
recorded	1925	Brazil	1
recorded	1925	Mexico	465
recorded	1925	United States	3
recorded	1926	Brazil	2
recorded	1926	Jamaica	1
recorded	1926	Mexico	1530
recorded	1926	Peru	1
recorded	1926	United States	78
recorded	1927	Ecuador	8
recorded	1927	Indeterminado	1
recorded	1927	Mexico	1871
recorded	1927	United States	5
recorded	1928	Ecuador	1
recorded	1928	Mexico	3
recorded	1928	Peru	2
recorded	1928	United States	1076
recorded	1929	Brazil	1162
recorded	1929	Mexico	560
recorded	1929	United States	145
recorded	1930	Barbados	2
recorded	1930	Brazil	10175
recorded	1930	Ecuador	1
recorded	1930	Mexico	2
recorded	1930	Peru	5
recorded	1930	Portugal	1
recorded	1931	Brazil	4417
recorded	1931	Mexico	2
recorded	1931	Peru	1531
recorded	1932	Bolivia	1
recorded	1932	Brazil	3
recorded	1932	Peru	734
recorded	1932	United States	1
recorded	1933	Brazil	1
recorded	1933	Ecuador	1
recorded	1933	Mexico	1
recorded	1933	United States	3
recorded	1934	Brazil	10
recorded	1934	Colombia	1
recorded	1934	Ecuador	385
recorded	1934	Equador	4
recorded	1934	Mexico	2
recorded	1934	Panama	1
recorded	1934	Venezuela	1
recorded	1935	Argentina	75
recorded	1935	Bolivia	190
recorded	1935	Brazil	3
recorded	1935	Chile	3
recorded	1935	Colombia	75
recorded	1935	Ecuador	1584
recorded	1935	Mexico	1
recorded	1935	Peru	368
recorded	1935	United States	3
recorded	1936	Chile	11
recorded	1936	Argentina	285
recorded	1936	Brazil	3
recorded	1936	Chile	241
recorded	1936	Ecuador	473
recorded	1936	Mexico	7
recorded	1936	Peru	1142
recorded	1937	Brazil	1
recorded	1937	Ecuador	1
recorded	1937	Mexico	1153
recorded	1937	Peru	3
recorded	1937	United States	4
recorded	1938	Argentina	2
recorded	1938	Brazil	2
recorded	1938	Colombia	1
recorded	1938	Ecuador	1
recorded	1938	Mexico	1052
recorded	1938	United States	1
