action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1317167358,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3f1fe4c33-7a9d-4fe1-b96e-ce5f78a76bcb,FOSSIL_SPECIMEN,,,,United States,US,,1880,Animalia,Kloedeniidae,"Berdan, Jean M.; Copeland",USNM,Paleobiology,USNM PAL14006F,Walcott Et Al,Arikloedenia (Arikloedenia) occidentalis,Type,,
identified,1317196290,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3fd87dc67-5a03-4ec6-a7aa-a0cc07ef5c0c,FOSSIL_SPECIMEN,,,,United States,US,,,Animalia,Leperditiidae,"Warshauer; Berdan, Jean M.",USNM,Paleobiology,USNM PAL41310B,E. Ulrich,Leperditella tumida,Syntype,,
identified,1317178132,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3f65b4531-4e17-4e8b-bf7a-cc1fe966c82c,FOSSIL_SPECIMEN,,,,,,,,Animalia,Beyrichiidae,"Copeland; Berdan, Jean M.",USNM,Paleobiology,USNM PAL82966,,Welleria obliqua,Syntype,,
identified,1317175638,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3f5584fb5-d4a8-4972-b0c9-57054f2d4d7f,FOSSIL_SPECIMEN,,,,United States,US,,,Animalia,Leperditiidae,"Berdan, Jean M.",USNM,Paleobiology,USNM PAL41272A,,Bivia linneyi,Syntype,,
identified,1317130071,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3e337319e-eff9-48c0-be1b-5d6c068db6a3,FOSSIL_SPECIMEN,,,,United States,US,,1885,Animalia,Zygobolbidae,"Copeland; Berdan, Jean M.",USNM,Paleobiology,USNM PAL63502A,Collector Unknown,Zygosella postica,Syntype,,
identified,1317127337,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3e220b082-9bdf-4526-8510-c1c11a4be946,FOSSIL_SPECIMEN,,,,United States,US,,,Animalia,Primitiidae,"Warshauer; Berdan, Jean M.",USNM,Paleobiology,USNM PAL41613,E. Ulrich,Eurychilina subradiata,Syntype,,
identified,1317120923,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3df8d3931-fa28-430e-8483-d8184d7d8b63,FOSSIL_SPECIMEN,,,,United States,US,,,Animalia,Primitiidae,"Warshauer; Berdan, Jean M.",USNM,Paleobiology,USNM PAL41614,E. Ulrich,Eurychilina subradiata,Syntype,,
identified,1317113805,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3dcc3ece8-9e03-44a1-892e-446ad2098ce9,FOSSIL_SPECIMEN,,,,,,,,Animalia,Rhabdostichidae,"Warshauer; Berdan, Jean M.",USNM,Paleobiology,USNM PAL82388C,,Cryptophyllus oboloides,Syntype,,
identified,1317098915,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3d6c9c5a4-72bf-4e22-b3bd-85cfdaa5ce9a,FOSSIL_SPECIMEN,,37.6006,-84.9497,United States,US,,,Animalia,Leperditiidae,"Berdan, Jean M.",USNM,Paleobiology,USNM PAL41272,,Bivia linneyi,Syntype,,
identified,1317087127,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3d2190d88-8296-4e85-8a60-8de69a7556ee,FOSSIL_SPECIMEN,,,,United States,US,,,Animalia,Eridoconchidae,"Warshauer; Berdan, Jean M.",USNM,Paleobiology,USNM PAL82389B,,Eridoconcha rugosa,Syntype,,
