action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,768641027,5c4a1973-2b2f-4c32-a9c8-65150ef4cf13,CC_BY_4_0,,PRESERVED_SPECIMEN,9/14/09 0:00,18.083055,-76.71667,Jamaica,JM,1966-07-16 00:00:00/1966-07-16 00:00:00,,Animalia,,D.H  Blake,MEL,Insecta,446822,",,,,,  Howden & Becker",Exocera jamaicensis,,,
identified,768629220,5c4a1973-2b2f-4c32-a9c8-65150ef4cf13,CC_BY_4_0,,PRESERVED_SPECIMEN,9/14/09 0:00,18.46778,-77.53667,Jamaica,JM,1966-08-14 00:00:00/1966-08-14 00:00:00,,Animalia,Chrysomelidae,D.H  Blake,MEL,Insecta,446801,",,,,,  Howden & Becker",Homoschema jamaicensis,,,
identified,768601478,5c4a1973-2b2f-4c32-a9c8-65150ef4cf13,CC_BY_4_0,,PRESERVED_SPECIMEN,9/21/09 0:00,,,,,1966-07-27 00:00:00/1966-07-27 00:00:00,,Animalia,Chrysomelidae,D.H  Blake,MEL,Insecta,447210,",,,,,  Howden & Becker",Apraea jansoni,,,
identified,768545977,5c4a1973-2b2f-4c32-a9c8-65150ef4cf13,CC_BY_4_0,,PRESERVED_SPECIMEN,9/14/09 0:00,18.392221,-77.85944,Jamaica,JM,1966-08-19 00:00:00/1966-08-19 00:00:00,,Animalia,Chrysomelidae,D.H  Blake,MEL,Insecta,446805,,Hermaephaga cupraeae,,,
identified,1894992427,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:44313:efc23773b269aec82aa250013d393b21,PRESERVED_SPECIMEN,,18.5833333,-96.9333333,MEXICO,MX,4/1/00,2000,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,44313,NO DISPONIBLE,Yingaresca pauperata,Tipo,,
identified,1894991794,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:44792:2444b628d1d2d61770e202860bc1e8c9,PRESERVED_SPECIMEN,,18.5833333,-96.9333333,MEXICO,MX,5/8/08,1908,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,44792,NO DISPONIBLE,Argopistes rubicundus,Tipo,,
identified,1894991383,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:59030:8f43f555a4eb90ba123e30b1437acd0d,PRESERVED_SPECIMEN,,,,ESTADOS UNIDOS DE AMERICA,US,1910-10,1910,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,59030,R. Vickery,Myochrous cyphus,Tipo,,
identified,1894991274,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:61817:17375c5559c2457692be2fcad2235290,PRESERVED_SPECIMEN,,,,MEXICO,MX,12/4/47,1947,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,61817,NO DISPONIBLE,Disonycha trivittata,Tipo,,
identified,1894991023,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:60944:f26ed8472daf202d699b4fd8e988ea2a,PRESERVED_SPECIMEN,,19.425,-96.8083333,MEXICO,MX,5/28/46,1946,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,60944,NO DISPONIBLE,Distigmoptera orchidophila,Tipo,,
identified,1894990835,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:43022:b3febd0b74e4619729bae13db2da6742,PRESERVED_SPECIMEN,,,,ESTADOS UNIDOS DE AMERICA,US,,9999,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,43022,NO DISPONIBLE,Trirhabda confusa,Tipo,,
identified,1894990568,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:61203:661a899f2e58f9ee204d4348aefeb61b,PRESERVED_SPECIMEN,,,,ESTADOS UNIDOS DE AMERICA,US,,9999,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,61203,NO DISPONIBLE,Strabala acuminata,Tipo,,
identified,1894990078,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:MCZ-HU:MCZ:9496:9e60eb84f8c665d314ea3f7c7afecc1a,PRESERVED_SPECIMEN,,18.5833333,-96.9333333,MEXICO,MX,,9999,Animalia,Chrysomelidae,D. Blake,MCZ-HU,MCZ,9496,Höge,Colaspis mexicana,Tipo,,
identified,1894989782,700a6f1d-8bfb-4b7e-b88c-f8d4882600e9,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:61206:21e662e20107d2d80f6940d70a1bac9d,PRESERVED_SPECIMEN,,,,GUATEMALA,GT,,9999,Animalia,Chrysomelidae,D. Blake,NMNH-SI,USNM,61206,C. Champion,Strabala rotunda,Tipo,,
