action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1322116620,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d9656372-b074-4db8-aebd-d485643b43d1,PRESERVED_SPECIMEN,,33.73,-118.28,United States,US,,1917,Animalia,Idoteidae,"Boone, Pearl Lee",USNM,IZ,USNM 50420,E. Chace,Erichsonella pseudoculata,Type,,
identified,1319607916,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/36a65e486-45f6-474e-851d-0c68daa92b26,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Parapseudidae,"Boone, Pearl Lee",USNM,IZ,USNM 86662,W. Hilton,Dalapseudes pedispinis,Type,,
identified,1317862888,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/31d36688c-2801-4651-8b2a-6721562c9687,PRESERVED_SPECIMEN,,,,United States,US,,1912,Animalia,Sphaeromatidae,"Boone, Pearl Lee",USNM,IZ,USNM 50414,United States Fish Commission,Dynamenella conica,Type,,
identified,1456293359,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a6f42578-71a6-44f0-93c8-c14e1f8cdec0,PRESERVED_SPECIMEN,,32.83,-117.27,United States,US,,1915,Animalia,Sphaeromatidae,"Boone, Pearl Lee",USNM,IZ,USNM 1422085,,Clianella elegans,Paratype,,
identified,1317554503,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/30f977143-eb5d-475a-b1c2-f3d009fc25fa,PRESERVED_SPECIMEN,,32.83,-117.27,United States,US,,1915,Animalia,Sphaeromatidae,"Boone, Pearl Lee",USNM,IZ,USNM 50421,,Clianella elegans,Holotype,,
identified,1804354322,87f42a91-8dfd-44f1-aabb-8b6ef14aba82,CC_BY_4_0,ef4bdd7e-ffc5-fc54-dbaa-14061166c80d,PRESERVED_SPECIMEN,,69.985,-144.83,United States,US,9/7/13,,Animalia,Chaetiliidae,"Boone, Pearl Lee",CMN,CMNC,CMNC 1988-0221,"Johansen, Frits","Saduria entomon (Linnaeus, 1758)",,,
identified,1804351145,87f42a91-8dfd-44f1-aabb-8b6ef14aba82,CC_BY_4_0,e18bc01f-304c-04c4-fbb5-b3d2aea3356d,PRESERVED_SPECIMEN,,70.0278,-145.178,United States,US,6/30/14,,Animalia,Chaetiliidae,"Boone, Pearl Lee",CMN,CMNC,CMNC 1988-0259,"Johansen, Frits","Saduria entomon (Linnaeus, 1758)",,,
identified,1804347793,87f42a91-8dfd-44f1-aabb-8b6ef14aba82,CC_BY_4_0,d309adce-e352-3524-b1a4-23cd47694885,PRESERVED_SPECIMEN,,69.985,-144.83,United States,US,10/8/13,,Animalia,Chaetiliidae,"Boone, Pearl Lee",CMN,CMNC,CMNC 1988-0240,"Johansen, Frits","Saduria entomon (Linnaeus, 1758)",,,
identified,1804345135,87f42a91-8dfd-44f1-aabb-8b6ef14aba82,CC_BY_4_0,c79094d2-d6ee-6ee4-3bb9-13dbecf301f6,PRESERVED_SPECIMEN,,69.6833,-141.3,United States,US,1914,,Animalia,Chaetiliidae,"Boone, Pearl Lee",CMN,CMNC,CMNC 1988-0220,"Johansen, Frits","Saduria entomon (Linnaeus, 1758)",,,
identified,1804342293,87f42a91-8dfd-44f1-aabb-8b6ef14aba82,CC_BY_4_0,bbbf776d-fd95-d954-b1aa-931bd345b29e,PRESERVED_SPECIMEN,,,,Canada,CA,1887-09-02,,Animalia,Arcturidae,"Boone, Pearl Lee",CMN,CMNC,CMNC 1988-0308,,"Arcturus baffini (Sabine, 1824)",,,
