action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,684323887,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1959-2-1,1959,Animalia,Molineidae,May Belle Chitwood,USNPC,Para,788,Robert L. Rausch,Nematodirus tarandi,,,
identified,684323885,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1957-1-1,1957,Animalia,Philonematidae,May Belle Chitwood,USNPC,Para,786,Robert L. Rausch,Philonema oncorhynchi,,,
identified,684323884,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,57.366337,-154.049713,United States,US,1957,1957,Animalia,Philometridae,May Belle Chitwood,USNPC,Para,785,Robert L. Rausch,Philonema micropleura,,,
identified,684323854,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1956-7-12,1956,Animalia,Crenosomatidae,May Belle Chitwood,USNPC,Para,755,Robert L. Rausch,Otostrongylus,,,
identified,684323851,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1960-4-1,1960,Animalia,Trichostrongylidae,May Belle Chitwood,USNPC,Para,752,Robert L. Rausch,Heligmosomum longicirratum,,,
identified,684323850,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,63.681996,-170.482323,United States,US,1958-12-5,1958,Animalia,Heligmosomidae,May Belle Chitwood,USNPC,Para,751,Robert L. Rausch,Heligmosomum costellatum,,,
identified,684323849,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,60.409916,-172.747226,United States,US,1954-8-1954,1954,Animalia,Heligmosomidae,May Belle Chitwood,USNPC,Para,750,Robert L. Rausch,Heligmosomum costellatum,,,
identified,684323848,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,60.409916,-172.747226,United States,US,1954-8-1954,1954,Animalia,Heligmosomidae,May Belle Chitwood,USNPC,Para,749,Robert L. Rausch,Heligmosomum costellatum,,,
identified,684323843,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1952-1-1,1952,Animalia,Trichostrongylidae,May Belle Chitwood,USNPC,Para,744,Robert L. Rausch,Heligmosomum longispiculatum,,,
identified,684323832,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Dictyocaulidae,May Belle Chitwood,USNPC,Para,733,Robert L. Rausch,Dictyocaulus hadweni,,,
identified,684323827,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1960-2-11,1960,Animalia,Dictyocaulidae,May Belle Chitwood,USNPC,Para,728,Robert L. Rausch,Dictyocaulus khawi,,,
identified,684323826,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1958-12-4,1958,Animalia,Spiruridae,May Belle Chitwood,USNPC,Para,727,Robert L. Rausch,Cylicospirura felinea,,,
identified,684323820,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Diplotriaenidae,May Belle Chitwood,USNPC,Para,721,Robert L. Rausch,Diplotriaenoides,,,
identified,684323667,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Oxyuridae,May Belle Chitwood,USNPC,Para,568,Robert L. Rausch,Trypanoxyuris sciuri,,,
identified,684323649,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Oxyuridae,May Belle Chitwood,USNPC,Para,550,Robert L. Rausch,Wellcomia compar,,,
identified,684323647,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Anisakidae,May Belle Chitwood,USNPC,Para,548,Robert L. Rausch,Terranova,,,
identified,684323646,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1969-12-6,1969,Animalia,Anisakidae,May Belle Chitwood,USNPC,Para,547,Robert L. Rausch,Terranova,,,
identified,684323645,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1969-12-6,1969,Animalia,Anisakidae,May Belle Chitwood,USNPC,Para,546,Robert L. Rausch,Terranova,,,
identified,684323644,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Anisakidae,May Belle Chitwood,USNPC,Para,545,Robert L. Rausch,Terranova,,,
identified,684323640,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1960-1-1,1960,Animalia,Capillariidae,May Belle Chitwood,USNPC,Para,541,Robert L. Rausch,Capillaria aerophila,,,
identified,684323639,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1959-2-25,1959,Animalia,Capillariidae,May Belle Chitwood,USNPC,Para,540,Robert L. Rausch,Capillaria aerophila,,,
identified,684323627,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1951-8-18,1951,Animalia,Rhabditidae,May Belle Chitwood,USNPC,Para,528,Robert L. Rausch,Rhabditis,,,
identified,684323623,82c3a0ae-f762-11e1-a439-00145eb45e9a,CC0_1_0,,PRESERVED_SPECIMEN,,,,United States,US,1951-3-4,1951,Animalia,Oxyuridae,May Belle Chitwood,USNPC,Para,524,Robert L. Rausch,Syphacia thompsoni,,,
