action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,476796785,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-169187,PRESERVED_SPECIMEN,,21.065607,-73.323708,Commonwealth of the Bahamas,BS,1845-05-14/1888-07-01,1845,Animalia,Leiocephalidae,Doris M. Cochran,MCZ,Herp,R-169187,Charles J. Maynard,Leiocephalus inaguae,,http://viaf.org/viaf/6961711,
identified,476683400,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-24536,PRESERVED_SPECIMEN,,18.88972222,-72.40027778,Haiti,HT,1927-04-10,1927,Animalia,Diploglossidae,Doris M. Cochran,MCZ,Herp,R-24536,Alexander Wetmore,Wetmorena haetiana haetiana,Paratype of Wetmorena haetiana,,
identified,476604444,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:A-35567,PRESERVED_SPECIMEN,,-23.03333,-43.48333,Brazil,BR,,,Animalia,Cycloramphidae,Doris M. Cochran,MCZ,Herp,A-35567,"Lutz, et al.","Thoropa lutzi Cochran, 1938",Paratype of Thoropa lutzi,,
identified,476800029,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-45217,PRESERVED_SPECIMEN,,17.634291,-63.238113,"Bonaire, Sint Eustatius and Saba",BQ,1937-01-01/1937-01-31,1937,Animalia,Sphaerodactylidae,Doris M. Cochran,MCZ,Herp,R-45217,Stuart T. Danforth,Sphaerodactylus sabanus,Paratype of Sphaerodactylus sabanus,,
identified,476789943,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-45216,PRESERVED_SPECIMEN,,17.634291,-63.238113,"Bonaire, Sint Eustatius and Saba",BQ,1937-01-01/1937-01-31,1937,Animalia,Sphaerodactylidae,Doris M. Cochran,MCZ,Herp,R-45216,Stuart T. Danforth,Sphaerodactylus sabanus,Paratype of Sphaerodactylus sabanus,,
identified,476691274,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-45215,PRESERVED_SPECIMEN,,17.634291,-63.238113,"Bonaire, Sint Eustatius and Saba",BQ,1937-01-01/1937-01-31,1937,Animalia,Sphaerodactylidae,Doris M. Cochran,MCZ,Herp,R-45215,Stuart T. Danforth,Sphaerodactylus sabanus,Paratype of Sphaerodactylus sabanus,,
identified,476699121,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-38178,PRESERVED_SPECIMEN,,22.32426,-72.720721,Commonwealth of the Bahamas,BS,1930-08-21,1930,Animalia,Sphaerodactylidae,Doris M. Cochran,MCZ,Herp,R-38178,Paul Bartsch,Sphaerodactylus mariguanae,Paratype of Sphaerodactylus mariguanae,,
identified,476489298,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:R-32596,PRESERVED_SPECIMEN,,23.24,-106.42,Mexico,MX,1899-04-06,1899,Animalia,Phrynosomatidae,Doris M. Cochran,MCZ,Herp,R-32596,Edward Alphonso Goldman,"Sceloporus nelsoni Cochran, 1923",Paratype of Sceloporus nelsoni,,
identified,476793839,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:A-19853,PRESERVED_SPECIMEN,,18.35,-72.2833,Haiti,HT,1934-09-16/1934-09-24,1934,Animalia,Eleutherodactylidae,Doris M. Cochran,MCZ,Herp,A-19853,"Philip J. Darlington, Jr.",Eleutherodactylus jugans,Paratype of Leptodactylus darlingtoni| Paratype of Eleutherodactylus jugans| Voucher of Eleutherodactylus jugans,http://viaf.org/viaf/46837193,
identified,476792605,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Herp:A-19856,PRESERVED_SPECIMEN,,18.35,-72.2833,Haiti,HT,1934-09-16/1934-09-24,1934,Animalia,Eleutherodactylidae,Doris M. Cochran,MCZ,Herp,A-19856,"Philip J. Darlington, Jr.",Eleutherodactylus jugans,Paratype of Leptodactylus darlingtoni| Paratype of Eleutherodactylus jugans| Voucher of Eleutherodactylus jugans,http://viaf.org/viaf/46837193,
