action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,2236116050,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d47a358e-6ae6-4471-b8bd-7c2c3decb330,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Cottidae,,USNM,Fish,USNM 70354,M. Rathbun & V. Dandridge,Myoxocephalus scorpius,,,
recorded,1322522877,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3eb5b675d-04bb-4f03-bef5-565ebaa7b4b7,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Belonidae,,USNM,Fish,USNM 70344,M. Rathbun & V. Dandridge,Strongylura marina,,,
recorded,1321974001,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d3139d7d-0cdd-44d2-82e4-09fd26f83c9b,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Clupeidae,,USNM,Fish,USNM 70355,M. Rathbun & V. Dandridge,Alosa aestivalis,,,
recorded,1321521013,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bef84795-ce9f-49bf-a918-36ca602923e0,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Labridae,,USNM,Fish,USNM 70359,M. Rathbun & V. Dandridge,Tautogolabrus adspersus,,,
recorded,1321419933,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ba83a8d0-0259-4164-9d78-a16167532e4d,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Pholidae,,USNM,Fish,USNM 70360,M. Rathbun & V. Dandridge,Pholis,,,
recorded,1320263042,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3875ead5a-5bdb-4f24-af69-80e1e3f2c29e,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Labridae,,USNM,Fish,USNM 70357,M. Rathbun & V. Dandridge,Tautogolabrus adspersus,,,
recorded,1320262382,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/38757f356-8497-44af-b8bd-80d51c8b017b,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Batrachoididae,,USNM,Fish,USNM 70349,M. Rathbun & V. Dandridge,Opsanus tau,,,
recorded,1320157186,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/382af8df7-06e1-4a19-a513-2ff8f2f12907,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Sparidae,,USNM,Fish,USNM 70348,M. Rathbun & V. Dandridge,Stenotomus chrysops,,,
recorded,1320147117,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3823b60fe-1c46-4b93-bc8f-b802fd8c6489,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Labridae,,USNM,Fish,USNM 70347,M. Rathbun & V. Dandridge,Tautogolabrus adspersus,,,
recorded,1320083882,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37f71425f-a405-42a0-b7f9-ea6af863d5c0,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Labridae,,USNM,Fish,USNM 70364,M. Rathbun & V. Dandridge,Tautogolabrus adspersus,,,
recorded,1319576819,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/36906f61d-11b1-4b6a-b497-4f2b228ce8d0,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Stromateidae,,USNM,Fish,USNM 70363,"M. Rathbun, V. Dandridge & R. Erickson",Peprilus triacanthus,,,
recorded,1319073423,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/352c0e727-7239-43e2-9c1a-9d5e0a877f29,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Pholidae,,USNM,Fish,USNM 70361,M. Rathbun & V. Dandridge,Pholis,,,
recorded,1318898384,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/34b025e98-5a61-4c5f-8391-04e3c0d61215,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Paguridae,"Schmitt, Waldo LaSalle, Smithsonian Institution, National Museum of Natural History",USNM,IZ,USNM 57209,M. Rathbun & V. Dandridge,Pagurus longicarpus,,,
recorded,1318064424,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3261b228d-c9c4-4490-b45a-011064e1c528,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Syngnathidae,,USNM,Fish,USNM 70345,M. Rathbun & V. Dandridge,Syngnathus fuscus,,,
recorded,1317297849,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/30439b71c-353a-450c-84cd-ea3070679483,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Tetraodontidae,,USNM,Fish,USNM 70343,M. Rathbun & V. Dandridge,Sphoeroides maculatus,,,
recorded,2571498332,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f56020b1-2af9-4262-97c0-59532e323ea3,PRESERVED_SPECIMEN,,43.7167,-70.0167,United States,US,,1911,Animalia,Oregoniidae,"Rathbun, Mary Jane",USNM,IZ,USNM 43164,M. Rathbun & Dandridge,Hyas coarctatus,,,
recorded,2571494054,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a12d4bbb-667a-48e9-876a-054b45231e26,PRESERVED_SPECIMEN,,43.7333,-70,United States,US,,1911,Animalia,Carcinidae,"Rathbun, Mary Jane",USNM,IZ,USNM 43161,"Rathbun, Mary Jane, Dandridge",Carcinus maenas,,,
recorded,2571485928,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/382182426-6a6e-47ba-988e-5704d7fb0894,PRESERVED_SPECIMEN,,43.7167,-70.0167,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43179,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571483072,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a5db8b5f-9cc1-4f32-a411-39364b808fe5,PRESERVED_SPECIMEN,,43.6579,-70.1744,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 47972,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571481031,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a156f35a-a54d-49c1-9d87-888700f8654d,PRESERVED_SPECIMEN,,43.7333,-70.0167,United States,US,,1911,Animalia,Carcinidae,"Rathbun, Mary Jane",USNM,IZ,USNM 43159,"Rathbun, Mary Jane, Dandridge",Carcinus maenas,,,
recorded,2571475382,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f3af4fa5-34f3-4e39-a945-1257f548ef09,PRESERVED_SPECIMEN,,43.7302,-70.021,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 61415,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571472037,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/39cf56acd-ef9b-4ecd-b080-bce38522ccc9,PRESERVED_SPECIMEN,,43.7261,-70.0011,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43167,M. Rathbun & Dandridge,Cancer borealis,,,
recorded,2571464094,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ab5f14a6-a68c-45af-91af-23b025da2eb2,PRESERVED_SPECIMEN,,43.7167,-70.0167,United States,US,,1911,Animalia,Carcinidae,,USNM,IZ,USNM 43157,M. Rathbun & Dandridge,Carcinus maenas,,,
recorded,2571460060,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a372c814-75d7-4d1e-a6ec-d60dacadf0a8,PRESERVED_SPECIMEN,,,,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43165,M. Rathbun & V. Dandridge,Cancer borealis,,,
recorded,2571455894,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3941eaa96-144a-4f48-b491-9ee857cced16,PRESERVED_SPECIMEN,,43.6579,-70.1744,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43201,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571443817,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37e125b4a-c5a0-4ac4-bf6f-078f9f7268ca,PRESERVED_SPECIMEN,,43.6579,-70.1744,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43169,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571442952,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a5dd79b5-0543-413a-befc-54ca4576c938,PRESERVED_SPECIMEN,,43.7167,-70.0167,United States,US,,1911,Animalia,Cancridae,"Rathbun, Mary Jane",USNM,IZ,USNM 43170,M. Rathbun & Dandridge,Cancer irroratus,,,
recorded,2571433968,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a372ed7b-864d-4545-8703-a44f44930e46,PRESERVED_SPECIMEN,,43.7,-70.05,United States,US,,1911,Animalia,Oregoniidae,"Rathbun, Mary Jane",USNM,IZ,USNM 43730,M. Rathbun & Dandridge,Hyas araneus,,,
