action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,1317350285,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/30688dda9-dd58-4bc7-b5d6-74b69297a23b,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Caprifoliaceae,,US,US,US 892147,F. Densmore,Symphoricarpos occidentalis,,,
recorded,1317994375,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/32304e430-13e7-45b5-b67a-1f0ce94dedc8,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Plantaginaceae,,US,US,US 892146,F. Densmore,Veronicastrum virginicum,,,
recorded,1318107373,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/32800ad33-aac5-4e89-85f2-f3edfa612544,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Boraginaceae,,US,US,US 892144,F. Densmore,Onosmodium molle var. hispidissimum,,,
recorded,1322506862,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3eaa42fdd-3a57-4359-940d-a1e0e86af3af,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Lamiaceae,,US,US,US 892145,F. Densmore,Agastache foeniculum,,,
recorded,1322460912,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e89c017f-9683-4c75-b2be-3f2a1c3f6cb0,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Asteraceae,,US,US,US 892143,F. Densmore,Artemisia gnaphaloides,,,
recorded,1321589756,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c204be7a-df36-4c45-a72f-0cc06e021105,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Apocynaceae,,US,US,US 892139,F. Densmore,Asclepias syriaca,,,
recorded,1321488332,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bd8788c2-a75a-43df-9fb5-5b240c84ba30,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Ericaceae,,US,US,US 892141,F. Densmore,Gaultheria hispidula,,,
recorded,1321473825,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bce191d8-ab2f-45f6-9c74-759871b63d68,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Lamiaceae,,US,US,US 892140,F. Densmore,Lycopus asper,,,
recorded,1321276250,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b42e87c5-ce23-4b3d-af58-ee4057863708,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Asteraceae,,US,US,US 892148,F. Densmore,Eupatorium maculatum,,,
recorded,1321092315,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ac097cbf-b009-43f0-85da-f9d894cef6e5,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Orchidaceae,,US,US,US 892149,F. Densmore,Cypripedium reginae,,,
recorded,1320641024,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3981e024d-de4f-4f55-9e42-cbd90f330c62,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Fagaceae,,US,US,US 892138,F. Densmore,Quercus macrocarpa,,,
recorded,1319589973,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/369991f39-08de-4a1b-b24f-a55ca0d66f51,PRESERVED_SPECIMEN,,,,United States,US,,1917,Plantae,Ericaceae,,US,US,US 892142,F. Densmore,Gaultheria procumbens,,,
