action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,1698752138,bb5b30b4-827e-4d5e-a86a-825d65cb6583,CC_BY_NC_4_0,pbdb:occ:749384,FOSSIL_SPECIMEN,,31.691389,-88.227776,United States,US,,,Animalia,Oculinidae,,PBDB,80165,,Vaughan | Julia A. Gardner,Petrophyllia gardnerae,,,
recorded,1061161857,58d0f326-2e85-4d0a-a744-571461220f00,CC_BY_4_0,urn:catalog:UCMP:M:22305,FOSSIL_SPECIMEN,,,,United States,US,,,Chromista,Ellipsolagenidae,,UCMP,M,22305,Julia A. Gardner,Ellipsolagena bidens,,,
recorded,1061161848,58d0f326-2e85-4d0a-a744-571461220f00,CC_BY_4_0,urn:catalog:UCMP:M:22308,FOSSIL_SPECIMEN,,,,United States,US,,,Chromista,Virgulinellidae,,UCMP,M,22308,Julia A. Gardner,Virgulina gunteri,,,
recorded,1062451790,1f2cfb6f-c91b-498e-80f3-8eeeec688292,CC0_1_0,4ab81c39-5cf1-4dd5-920a-bcf340cc13ca,FOSSIL_SPECIMEN,,30.1871920000,-97.3768370000,United States,US,1922-08-31,1922,Animalia,Turritellidae,,,,NPL00004604.000,"Gardner, Julia|Seashore, Paul",Turritella hilli,topotype,,
recorded,1062451775,1f2cfb6f-c91b-498e-80f3-8eeeec688292,CC0_1_0,123b3a0a-03b6-4ce0-8e97-7e5f38573c93,FOSSIL_SPECIMEN,,30.1871920000,-97.3768370000,United States,US,1922-08-31,1922,Animalia,Crassatellidae,,,,NPL00004613.000,"Gardner, Julia|Seashore, Paul",Crassatellites ioannes,topotype,,
recorded,2451521588,3ee66eb3-4786-4bda-b7f1-c145b1a57a6b,CC0_1_0,b5f35e2a-bbcf-4ada-9e88-b71c92af796a,PRESERVED_SPECIMEN,,,,United States,US,1925-06-16,1925,Animalia,Euconulidae,,DMNH,Mollusk,129130,"Gardner, Julia",Euconulus chersinus,,,
recorded,2451485435,3ee66eb3-4786-4bda-b7f1-c145b1a57a6b,CC0_1_0,92f20822-29ac-47dc-aa35-358f302b2595,PRESERVED_SPECIMEN,,29.97873,-97.02026,United States,US,1925-00-00,1925,Animalia,Strobilopsidae,,DMNH,Mollusk,25539,"Gardner, Julia",Strobilops texasianus,,,
recorded,2451475862,3ee66eb3-4786-4bda-b7f1-c145b1a57a6b,CC0_1_0,e37c38c5-27f9-4943-91fd-a9133ee16cdd,PRESERVED_SPECIMEN,,,,United States,US,,,Animalia,Planorbidae,,DMNH,Mollusk,25248,"Gardner, Julia",Biomphalaria obstructa,,,
recorded,1064918509,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f1ac8-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1921-06-25,1921,Chromista,Nodosariidae,,UF,IP,234503,"COOKE, CHARLES; GARDNER, JULIA",LENTICULINA IOTA,,,
recorded,1064918503,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f0920-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Lagenidae,,UF,IP,234496,"GARDNER, JULIA",PROCEROLAGENA CLAVATA,,,
recorded,1064918500,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62eecf6-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.4642000,-84.9871000,UNITED STATES,US,1923-12-23,1923,Chromista,Lagenidae,,UF,IP,234486,"GARDNER, JULIA",LAGENA PERLUCIDA,,,
recorded,1064918495,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62eef9e-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.4642000,-84.9871000,UNITED STATES,US,1923-12-23,1923,Chromista,Ellipsolagenidae,,UF,IP,234487,"GARDNER, JULIA",FAVULINA SCALARIFORMIS,,,
recorded,1064918490,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f183e-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-11-14,1923,Chromista,Nonionidae,,UF,IP,234502,"GARDNER, JULIA",NONIONELLA AURIS,,,
recorded,1064918489,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f03f8-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Nodosariidae,,UF,IP,234494,"GARDNER, JULIA",LAEVIDENTALINA COMMUNIS,,,
recorded,1064918484,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f10be-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Globigerinidae,,UF,IP,234499,"GARDNER, JULIA",ORBULINA UNIVERSA,,,
recorded,1064918481,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f0696-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Lagenidae,,UF,IP,234495,"GARDNER, JULIA",LAGENA SUBSTRIATA,,,
recorded,1064918480,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62efd40-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.5945970,-85.9628120,UNITED STATES,US,1923-10-26,1923,Chromista,Uvigerinidae,,UF,IP,234492,"GARDNER, JULIA",UVIGERINA PEREGRINA,,,
recorded,1064918479,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f0e34-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Cassidulinidae,,UF,IP,234498,"GARDNER, JULIA",CASSIDULINA LAEVIGATA CARINATA,,,
recorded,1064918478,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f1348-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-11-14,1923,Chromista,Buliminellidae,,UF,IP,234500,"GARDNER, JULIA",BULIMINELLA CURTA,,,
recorded,1064918477,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f00d8-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.5945970,-85.9628120,UNITED STATES,US,1923-10-26,1923,Chromista,Cancrisidae,,UF,IP,234493,"GARDNER, JULIA",CANCRIS SAGRA,,,
recorded,1064918473,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f0bb4-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-10-26,1923,Chromista,Cancrisidae,,UF,IP,234497,"GARDNER, JULIA",CANCRIS SAGRA,,,
recorded,1064918466,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62ef4f8-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.4642000,-84.9871000,UNITED STATES,US,1923-12-23,1923,Chromista,Ellipsolagenidae,,UF,IP,234489,"GARDNER, JULIA",LAGENOSOLENIA MARGINATOPERFORATA,,,
recorded,1064918462,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62ef26e-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,30.4642000,-84.9871000,UNITED STATES,US,1923-12-23,1923,Chromista,Orbitolinidae,,UF,IP,234488,"GARDNER, JULIA",CUSHMANIA STRIATOPUNCTATA,,,
recorded,1064918461,989f6285-841c-47a4-991b-3d3396427f02,CC_BY_NC_4_0,b62f15be-530d-11e4-be5b-525400ea6f9b,FOSSIL_SPECIMEN,,,,UNITED STATES,US,1923-11-14,1923,Chromista,Globigerinidae,,UF,IP,234501,"GARDNER, JULIA",GLOBIGERINA,,,
