action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1146744004,2bf0ebd2-cf6a-412b-b3eb-81d07106c946,CC0_1_0,urn:catalog:UAFMC:Birds:2007-0003-0001,PRESERVED_SPECIMEN,,,,United States,US,2007-06-14,2007,Animalia,Anatidae,"ROXIE LAYBOURNE, NMNH, SMITHSONIAN",UAFMC,Birds,2007-0003-0001,DON SIMONS,Anas fulvigula,,,
recorded,896318315,c9076cd3-349f-4068-a5c7-bc34449c3916,CC0_1_0,http://arctos.database.museum/guid/MSB:Bird:20292?seid=770035,PRESERVED_SPECIMEN,2006-03-01,33.4463390000,-104.4017029000,United States,US,1963-10-06,1963,Animalia,Tyrannidae,unknown,MSB,Bird,MSB:Bird:20292,Collector(s): Roger D. Johnson; Preparator(s): Roxie Laybourne,Sayornis phoebe,,,
recorded,1320501425,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/391ed3e7a-7866-4dff-8b6a-e7a2979b75db,PRESERVED_SPECIMEN,,,,United States,US,,1966,Animalia,Odontophoridae,,USNM,Birds,USNM 529614,R. Laybourne,Colinus virginianus,,,
recorded,1319967243,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37a4fe280-7871-4b22-844a-9c886c25bbdb,PRESERVED_SPECIMEN,,,,United States,US,,1968,Animalia,Mimidae,,USNM,Birds,USNM 530846,R. Laybourne,Mimus polyglottos,,,
recorded,1320442670,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/38f563408-a707-47f3-b411-bebdd0912822,PRESERVED_SPECIMEN,,,,United States,US,,1967,Animalia,Cricetidae,,USNM,MAMM,USNM 349636,R. Laybourne,Peromyscus leucopus noveboracensis,,,
recorded,2236164641,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ef6ca7b6-c267-44f6-b7c0-cec4ef07c68b,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480903,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,2235772884,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3164d3067-cba2-41d7-9095-ed6b4db711f0,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480879,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,1319040555,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3514b53d6-b1e8-42b1-9221-d755c4188f37,PRESERVED_SPECIMEN,,,,United States,US,,1968,Animalia,Cardinalidae,,USNM,Birds,USNM 531550,R. Laybourne,Passerina cyanea,,,
recorded,1321433743,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bb1eb767-9e17-436b-b83b-dfd79345eeab,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Passeridae,,USNM,Birds,USNM 479643,R. Laybourne,Passer domesticus domesticus,,,
recorded,1321269180,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b3da04d9-2a2a-4840-bbcb-1289bf35b923,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Icteridae,,USNM,Birds,USNM 479678,R. Laybourne,Icterus galbula galbula,,,
recorded,1317694606,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/315c2dc20-1699-4d31-8bfe-6a4a5634733d,PRESERVED_SPECIMEN,,,,United States,US,,1971,Animalia,Icteridae,,USNM,Birds,USNM 565001,R. Laybourne,Quiscalus quiscula stonei,,,
recorded,2235880959,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/352330062-acdf-4774-ad1f-31ac8cd20722,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480848,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,2236079594,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c06ade3a-90ee-4cf9-99db-68f08d941d40,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480904,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,1321075893,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ab4ea685-8482-4ef6-b399-59815afafa15,PRESERVED_SPECIMEN,,,,United States,US,,1995,Animalia,Icteridae,,USNM,Birds,USNM 609567,R. Laybourne,Quiscalus quiscula,,,
recorded,1317942028,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/320b156bd-2d8f-4a77-87c1-cba1c927065c,PRESERVED_SPECIMEN,,,,United States,US,,1986,Animalia,Rallidae,,USNM,Birds,USNM 595987,R. Laybourne,Porzana carolina,,,
recorded,1322169224,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3dbb973db-7538-4050-9c04-148e4c137208,PRESERVED_SPECIMEN,,,,United States,US,,1974,Animalia,Bombycillidae,,USNM,Birds,USNM 567251,R. Laybourne,Bombycilla cedrorum,,,
recorded,2235828010,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/334e31d1f-6f8d-4723-850c-1a8a3b396360,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480888,R. Laybourne,Melospiza georgiana georgiana,,,
recorded,1320844927,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a11eab02-4fc0-450f-94cc-d5938729081a,PRESERVED_SPECIMEN,,,,United States,US,,1965,Animalia,Cardinalidae,,USNM,Birds,USNM 490149,R. Laybourne,Cardinalis cardinalis,,,
recorded,1321249030,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b2f3499d-62fe-4f6e-9ec1-8a028767c26e,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Tyrannidae,,USNM,Birds,USNM 479641,R. Laybourne,Sayornis phoebe,,,
recorded,1456020505,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3279c6349-393f-4400-b209-90423d7cc2c0,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480835,R. Laybourne,Melospiza melodia melodia,,,
recorded,1318032632,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/324b5443b-617d-4479-8359-9295ed470a18,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Strigidae,,USNM,Birds,USNM 480385,R. Laybourne,Bubo virginianus,,,
recorded,1319039245,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3513c687c-a27a-49f6-a254-dbd4f734c1fb,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Tyrannidae,,USNM,Birds,USNM 479682,R. Laybourne,Empidonax traillii traillii,,,
recorded,1321622900,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c37ab7ad-e816-4d9a-9d34-6d7af304aa9c,PRESERVED_SPECIMEN,,,,United States,US,,1973,Animalia,Soricidae,,USNM,MAMM,USNM 521112,R. Laybourne,Sorex hoyi winnemana,,,
recorded,2236003967,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/396790f8d-7fc0-46d6-9527-21bc91880f82,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480847,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,1319952235,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/379a5b89d-27a2-4d92-9042-e6b1e2712853,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Talpidae,,USNM,MAMM,USNM 349643,R. Laybourne,Scalopus aquaticus aquaticus,,,
recorded,1319200664,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/358677fdb-7abe-4e06-808e-a350e1ce0a50,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Passeridae,,USNM,Birds,USNM 566637,R. Laybourne,Passer domesticus domesticus,,,
recorded,1456405469,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3db42c46b-fa2e-4e5d-9d7b-bde7a448b5f3,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480834,R. Laybourne,Melospiza melodia melodia,,,
recorded,2235937339,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3716ec7ad-631a-4a9e-aac0-e45060f0f5c0,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480853,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,1319552250,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/367ee27ac-38e6-4420-894d-324a7427047e,PRESERVED_SPECIMEN,,,,United States,US,,1982,Animalia,Sturnidae,,USNM,Birds,USNM 599126,R. Laybourne,Sturnus vulgaris vulgaris,,,
recorded,1319443716,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/363269d4b-56f2-409e-9bde-07f7deecd133,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Certhiidae,,USNM,Birds,USNM 480861,R. Laybourne,Certhia americana americana,,,
recorded,1320343221,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/38af3bc37-3583-4dbf-8b72-cc8e5dc9bedc,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Cardinalidae,,USNM,Birds,USNM 480826,R. Laybourne,Passerina cyanea,,,
recorded,2235942591,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37463d867-03d2-41d0-ba74-4f45238a2b69,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Emberizidae,,USNM,Birds,USNM 480842,R. Laybourne,Junco hyemalis hyemalis,,,
recorded,1318244239,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/32e13df14-445b-417c-94e4-7183af99f75a,PRESERVED_SPECIMEN,,,,United States,US,,1991,Animalia,Turdidae,,USNM,Birds,USNM 613952,R. Laybourne,Sialia sialis,,,
recorded,1319911786,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/377da51c9-abd9-4389-a485-70dd5b03046b,PRESERVED_SPECIMEN,,,,United States,US,,1978,Animalia,Icteridae,,USNM,Birds,USNM 599710,R. Laybourne,Agelaius phoeniceus,,,
recorded,1321970185,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d2e7909b-9eae-4399-a937-1cdd3b76e0e4,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Parulidae,,USNM,Birds,USNM 479677,R. Laybourne,Icteria virens virens,,,
recorded,1317735314,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3178fa072-cb19-4f51-bb10-656148fd921d,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Parulidae,,USNM,Birds,USNM 480865,R. Laybourne,Dendroica coronata coronata,,,
recorded,1321386903,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b910acfa-ea42-4a23-a1e9-f74000c40dde,PRESERVED_SPECIMEN,,,,United States,US,,1963,Animalia,Certhiidae,,USNM,Birds,USNM 480905,R. Laybourne,Certhia americana americana,,,
recorded,1322376568,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e4e36c1e-600b-4a1f-b327-ea3087ff39fa,PRESERVED_SPECIMEN,,,,United States,US,,1959,Animalia,Icteridae,,USNM,Birds,USNM 466287,R. Laybourne,Quiscalus quiscula stonei,,,
