action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1317198496,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3fe6c7822-89af-4bc9-aa60-826132c44c87,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL65953,,Platystrophia crassa,,,
identified,1317191298,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3fb9d867a-2f9a-4e94-b0a0-678c1eb8cc97,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL48605,,Platystrophia laticosta,,,
identified,1317183286,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3f87071c6-8628-4c76-9466-581f1968045d,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL48610,,Platystrophia morrowensis,,,
identified,1317153412,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3ec72655d-821d-441f-9ff9-250f47c8e053,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL66010,,Platystrophia cypha,,,
identified,1317151056,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3eb7a47e8-b087-4674-a5e6-7c5ae012d29e,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL65914,,Platystrophia colbiensis mutata,,,
identified,1317139760,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3e70f9501-7540-445e-8e7f-9d2a79b79391,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL65863,,Platystrophia ponderosa auburnensis,,,
identified,1317131603,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3e3d376a5-d3ff-4690-aebd-559e03afee8e,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL65814,,Platystrophia ponderosa,,,
identified,1317124881,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3e12036b4-a4f6-417e-9d63-7ed24e3536b6,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL66028,,Platystrophia cypha conradi,,,
identified,1317052249,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3c439e69f-7004-4926-9f0d-3d524ea6b004,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL65792,,Platystrophia ponderosa,,,
identified,1317049266,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3c31529a7-5163-45cb-b989-f55186cc21b8,FOSSIL_SPECIMEN,,,,,,,,Animalia,Plectorthidae,McEwan,USNM,Paleobiology,USNM PAL34231,,Platystrophia colbiensis,,,
