action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1063867075,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:13052?seid=2606923,PRESERVED_SPECIMEN,7/20/66,58.5,-134.85,United States,US,2/27/63,1963,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:13052,"Collector(s): Robert Ellis, Louis Barr, William R. Heard, Helle",Elassochirus gilli,,,
identified,1058556142,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:9892?seid=2590035,PRESERVED_SPECIMEN,7/20/66,58.24,-135.43,United States,US,10/13/62,1962,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:9892,Collector(s): Fortin,Pagurus aleuticus,,,
identified,1058556078,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:12563?seid=2590058,PRESERVED_SPECIMEN,12/27/68,56.383,-166.39,United States,US,7/19/66,1966,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:12563,Collector(s): unknown,Pagurus confragosus,,,
identified,911442046,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:9218?seid=2327849,PRESERVED_SPECIMEN,12/27/68,55.92,-164.28,United States,US,5/2/66,1966,Animalia,Primnoidae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:9218,Collector(s): J. Nishimoto,Primnoa pacifica,,,
identified,911442024,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:9229?seid=2327860,PRESERVED_SPECIMEN,12/27/68,56.666,-164.55,United States,US,7/9/66,1966,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:9229,Collector(s): unknown,Pagurus rathbuni,,,
identified,911441921,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:9164?seid=2327958,PRESERVED_SPECIMEN,7/20/69,58.28,-137.09,United States,US,7/22/58,1958,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:9164,Collector(s): T. H. Bean,Labidochirus splendescens,,,
identified,896994519,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:8650?seid=2315599,PRESERVED_SPECIMEN,7/20/66,55.4,-132.4,United States,US,1963-01-01/1963-12-31,,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:8650,"Collector(s): D. Ross, J. Dinsmore, Roger F. Blackett",Elassochirus tenuimanus,,,
identified,896994513,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:8645?seid=2315629,PRESERVED_SPECIMEN,7/20/66,58.37,-134.68,United States,US,11/11/62,1962,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:8645,Collector(s): Louis Barr,Pagurus ochotensis,,,
identified,896994510,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:8642?seid=2315600,PRESERVED_SPECIMEN,7/20/66,58.35,-134.66,United States,US,1962-05-01/1962-05-31,,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:8642,"Collector(s): Roger J. Reed, Hobart",Pagurus dalli,,,
identified,896994017,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:8180?seid=2063425,PRESERVED_SPECIMEN,6/20/67,58.34,-134.65,United States,US,10/5/65,1965,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:8180,"Collector(s): Gerald M. Reid, Richard E. Haight",Pagurus aleuticus,,,
identified,896993996,80ebe7f9-00ee-4fe3-80f6-303729cf5bac,CC_BY_4_0,http://arctos.database.museum/guid/UAM:Inv:8161?seid=2063406,PRESERVED_SPECIMEN,7/20/66,58.35,-134.62,United States,US,7/27/64,1964,Animalia,Paguridae,Patsy Ann McLaughlin,UAM,Inv,UAM:Inv:8161,"Collector(s): Gerald M. Reid, J. Dinsmore",Pagurus,,,
