action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,2268966187,7bd65a7a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:MO:Tropicos:101070839,PRESERVED_SPECIMEN,,,,United States,US,,1905,Plantae,Hypnaceae,Mary F. Miller,MO,MO,101070839,Alice L. Crockett,Hypnum cupressiforme Hedw.,,,
identified,2268949688,7bd65a7a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:MO:Tropicos:101053103,PRESERVED_SPECIMEN,,,,United States,US,,1905,Plantae,Polytrichaceae,Mary F. Miller,MO,MO,101053103,Alice L. Crockett,Polytrichum strictum Menzies ex Brid.,,,
identified,3864954949,039c9aba-2f77-4001-a72a-40b9fa830ab4,CC_BY_4_0,8836e7ac-f36a-4435-8a92-ea47f20e96e3,PRESERVED_SPECIMEN,,36.831815,-81.519215,United States,US,1892-08-06,,Plantae,Hedwigiaceae,Mary F. Miller,PH,,PH00111102,J. K. Small,Hedwigia albicans,,,
identified,3864949669,039c9aba-2f77-4001-a72a-40b9fa830ab4,CC_BY_4_0,48ec93c8-ec43-4dea-826a-b003514e4fcb,PRESERVED_SPECIMEN,,,,United States,US,,1905,Plantae,Hypnaceae,Miss Mary F. Miller,PH,,PH00130218,Alice L. Crockett,Hypnum fertile,,,
identified,3864945637,039c9aba-2f77-4001-a72a-40b9fa830ab4,CC_BY_4_0,edf7db21-5091-4188-9257-8f19c37f0113,PRESERVED_SPECIMEN,,44.2295,-69.13638,United States,US,10/3/05,1905,Plantae,Polytrichaceae,Mary F. Miller,PH,,PH00125185,Alice L. Crockett,Polytrichum strictum,,,
identified,3864900402,38bdc3d6-9748-4f72-9d5f-55ffd573b5d1,CC_BY_4_0,fdfeea52-8762-49df-99c3-9cd684086a60,PRESERVED_SPECIMEN,,,,USA,US,5/4/10,1910,Fungi,Cladoniaceae,Mary F. Miller,PH,,PH00107994,George B. Kaiser,Cladonia sylvatica,,,
identified,3864898741,38bdc3d6-9748-4f72-9d5f-55ffd573b5d1,CC_BY_4_0,c1202ec6-0004-4408-99e2-8f3cce0ea3f1,PRESERVED_SPECIMEN,,,,USA,US,9/6/09,1909,Fungi,Parmeliaceae,Mary F. Miller,PH,,PH00107741,D.L. Dutton,Cetraria islandica,,,
identified,3864893495,38bdc3d6-9748-4f72-9d5f-55ffd573b5d1,CC_BY_4_0,169b8cb9-0e24-40c7-b8af-7222ac7c3251,PRESERVED_SPECIMEN,,44.15898,-71.64448,USA,US,8/18/10,1910,Fungi,Cladoniaceae,Mary F. Miller and Bruce Fink,PH,,PH00115836,George B. Kaiser,Cladonia squamosa,,,
identified,3413424732,1b9eaa10-8441-481c-b50a-391ba168a86f,CC0_1_0,http://arctos.database.museum/guid/CHAS:Herb:1914.10.327?seid=5151474,PRESERVED_SPECIMEN,11/19/09,41.325475,-122.31915,United States,US,11/19/09,1909,Fungi,Parmeliaceae,Mary F. Miller,CHAS,Herb,CHAS:Herb:1914.10.327,Collector(s): G. M. Pendleton,Parmelia saxatilis,,,
identified,3413422823,1b9eaa10-8441-481c-b50a-391ba168a86f,CC0_1_0,http://arctos.database.museum/guid/CHAS:Herb:1914.10.397?seid=5146494,PRESERVED_SPECIMEN,1/1/09,42.05423,-70.18087,United States,US,9/8/09,1909,Fungi,Teloschistaceae,Mary F. Miller,CHAS,Herb,CHAS:Herb:1914.10.397,Collector(s): A. M. Smith,Xanthoria parietina,,,
identified,3413421538,1b9eaa10-8441-481c-b50a-391ba168a86f,CC0_1_0,http://arctos.database.museum/guid/CHAS:Herb:1914.10.332?seid=5151456,PRESERVED_SPECIMEN,11/1/09,41.32554,-122.319493,United States,US,11/1/09,1909,Fungi,Peltigeraceae,Mary F. Miller,CHAS,Herb,CHAS:Herb:1914.10.332,Collector(s): G. M. Pendleton,Peltigera aphthosa,,,
identified,3413416744,1b9eaa10-8441-481c-b50a-391ba168a86f,CC0_1_0,http://arctos.database.museum/guid/CHAS:Herb:1914.10.352?seid=5151452,PRESERVED_SPECIMEN,11/30/09,41.325862,-122.318807,United States,US,1909-04-01/1909-11-30,,Fungi,Physciaceae,Mary F. Miller,CHAS,Herb,CHAS:Herb:1914.10.352,Collector(s): G. M. Pendleton,Physcia pulverulenta,,,
identified,3413416357,1b9eaa10-8441-481c-b50a-391ba168a86f,CC0_1_0,http://arctos.database.museum/guid/CHAS:Herb:1914.10.314?seid=5151453,PRESERVED_SPECIMEN,1/1/09,41.325604,-122.319837,United States,US,3/12/10,1910,Fungi,Parmeliaceae,Mary F. Miller,CHAS,Herb,CHAS:Herb:1914.10.314,Collector(s): G. M. Pendleton,Flavoparmelia rutidota,,,
identified,2269384199,7ed55b51-4336-4f74-a05a-274afffe771f,CC_BY_4_0,f49ad6f9-67fb-4ef6-9f83-041a014180f2,PRESERVED_SPECIMEN,1909,,,United States,US,7/9/09,1909,Fungi,Teloschistaceae,Mary F. Miller,COLO,L,COLO-L-0048967,C.N. Harris,Xanthoria parietina,,,
identified,2028315029,815b2469-2686-4abd-8406-27ebe778a684,CC_BY_NC_4_0,ba95c0ab-fa2f-11e2-a92b-005056000560,PRESERVED_SPECIMEN,,,,United States,US,1892-04-23,1892,Plantae,Hypnaceae,"Miller, Mary F.",DUKE,,225116,"Small, John Kunkel",Pylaisia intricata,,,
identified,2028311831,815b2469-2686-4abd-8406-27ebe778a684,CC_BY_NC_4_0,beb68c85-fa2f-11e2-a92b-005056000560,PRESERVED_SPECIMEN,,,,United States,US,1/15/04,1904,Plantae,Polytrichaceae,"Miller, Mary F.",DUKE,,27105,"Taylor, Augustine P",Pogonatum brachyphyllum,,,
identified,2028303757,815b2469-2686-4abd-8406-27ebe778a684,CC_BY_NC_4_0,a43e4b1c-fa2f-11e2-a92b-005056000560,PRESERVED_SPECIMEN,,,,United States,US,1903-05-00,1903,Plantae,Bryaceae,"Miller, Mary F.",DUKE,,103127,"Hadley, Sarah B",Bryum caespiticium,,,
