action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,699145005,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:29351,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,"S. I. Parfin, Ashley Buell Gurney",MCZ,Ent,29351,Parish,Climacia townesi Parfin & Gurney 1956,Holotype of Climacia townesi,,
identified,1898325982,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709239,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709239,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1898325971,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:29352,PRESERVED_SPECIMEN,12/31/56,32.471463,-104.304466,United States,US,7/12/27,1927,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,29352,R. H. Benmer,"Climacia chapini Chandler, 1953",,,
identified,1891259862,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709231,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709231,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259861,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709230,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709230,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259860,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709237,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709237,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259859,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709242,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709242,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259858,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709234,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709234,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259857,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709236,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709236,Parish,Climacia townesi Parfin & Gurney 1956,,,
identified,1891259856,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:Ent:709240,PRESERVED_SPECIMEN,12/31/56,-4.44,-51.4,Brazil,BR,,,Animalia,Sisyridae,S. I. Parfin,MCZ,Ent,709240,Parish,Climacia townesi Parfin & Gurney 1956,,,
