action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,3308275685,8016518a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:IBUNAM:MEXU:225524:7987dfff1372107d47fe7691422f5156,PRESERVED_SPECIMEN,,,,ESTADOS UNIDOS DE AMERICA,US,2/23/52,1952,Plantae,Boraginaceae,K. F. Parker,IBUNAM,MEXU,225524,C. H. Lowe,Cryptantha barbigera,NO APLICA,,
identified,1893434231,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:611:15908650d004456c4966283d57c093a3,PRESERVED_SPECIMEN,,26.713575,-105.575549,MEXICO,MX,10/5/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,611,H. S. Gentry; J. Arguelles,Flourensia pringlei,NO APLICA,,
identified,1893433056,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:641:9cef97de0b286907164e0e712f333629,PRESERVED_SPECIMEN,,21.3083333,-104.675,MEXICO,MX,12/8/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,641,H. S. Gentry,Tagetes patula,NO APLICA,,
identified,1893411207,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:651:cfa4762d928ff66c221b3c4ad2c97c11,PRESERVED_SPECIMEN,,26.375,-105.275,MEXICO,MX,10/24/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,651,H. S. Gentry; J. Arguelles,Viguiera cordifolia,NO APLICA,,
identified,1893406777,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:643:12a2747a1d9f81a7f50a89a088879885,PRESERVED_SPECIMEN,,26.9416667,-105.675,MEXICO,MX,10/4/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,643,H. S. Gentry; Barclay; J. Argüelles,Tithonia tubaeformis,NO APLICA,,
identified,1893395184,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:620:19a4c1803e3ce60113108da21525a2c6,PRESERVED_SPECIMEN,,26.9416667,-105.675,MEXICO,MX,10/2/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,620,H. S. Gentry; D. S. Correll; J. Argüelles,Gymnosperma glutinosum,NO APLICA,,
identified,1893392272,eb2be3c8-8b4e-4bf6-b989-f4b0c4482c0c,CC_BY_4_0,urn:catalog:NYBG:NY:625:bbd24d292ac8e19855ef02fd31952f30,PRESERVED_SPECIMEN,,28.4083333,-106.875,MEXICO,MX,11/5/59,1959,Plantae,Asteraceae,K. F. Parker,NYBG,NY,625,H. S. Gentry,Simsia amplexicaulis,NO APLICA,,
identified,3760440867,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,f7d0d842-a205-4d16-ad1a-6d462ef5785b,PRESERVED_SPECIMEN,1949-00-00,,,United States,US,8/10/49,1949,Plantae,Lamiaceae,K. F. Parker,RSA,VascularPlants,RSA0345650,J. F. Arnold,Mentha arvensis var. villosa,,,
identified,3760414788,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,e93df2be-4623-4e6a-9e9b-8ec81361ca85,PRESERVED_SPECIMEN,s.d.,,,United States,US,3/11/50,1950,Plantae,Lamiaceae,K. F. Parker,RSA,VascularPlants,RSA0332910,W. R. Supernaugh,Hedeoma nanum subsp. macrocalyx,,,
identified,3503135609,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,21eb91b4-7bb3-4bd9-8c49-d585b3109d52,PRESERVED_SPECIMEN,s.d.,,,United States,US,4/10/52,1952,Plantae,Cyperaceae,K. F. Parker,RSA,VascularPlants,RSA0365782,Fouts,Cyperus laevigatus,,,
