action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1893993743,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:140668:d63212bad6f0fcb07d2e34f9fb3683bc,PRESERVED_SPECIMEN,,19.0416667,-91.64,MEXICO,MX,11/21/58,1958,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,140668,NO DISPONIBLE,Pleoticus robustus,NO APLICA,,
identified,1893993645,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:140665:5bdc3e16debda6c45362f8fcc74138e1,PRESERVED_SPECIMEN,,24.0166667,-96.55,MEXICO,MX,9/25/62,1962,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,140665,NO DISPONIBLE,Pleoticus robustus,NO APLICA,,
identified,1893993615,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:254099:6e90719f69dffc58a4d49966e183e41c,PRESERVED_SPECIMEN,,23.0666667,-86.6166667,MEXICO,MX,12/7/63,1963,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,254099,NO DISPONIBLE,Solenocera vioscai,NO APLICA,,
identified,1893993613,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:254101:0c1f53db8d2e8dd0de5760cef34caabb,PRESERVED_SPECIMEN,,18.8166667,-95.2833333,MEXICO,MX,6/5/70,1970,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,254101,NO DISPONIBLE,Solenocera vioscai,NO APLICA,,
identified,1893993600,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:254105:d1fcb65bb651ca636e5e5922ae80c7d6,PRESERVED_SPECIMEN,,21.0033333,-97.025,MEXICO,MX,6/3/70,1970,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,254105,NO DISPONIBLE,Solenocera vioscai,NO APLICA,,
identified,1893993556,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:254100:49158913d57687fb0c7f3004a8c5aece,PRESERVED_SPECIMEN,,23.25,-97.2666667,MEXICO,MX,6/2/70,1970,Animalia,Solenoceridae,Isabel Pérez Farfante,NMNH-SI,USNM,254100,NO DISPONIBLE,Solenocera vioscai,NO APLICA,,
identified,1893993478,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:IOP-SEMAR:SMIOM:NO DISPONIBLE:b336b560e853f25ae1d2b8dd849c5e48,PRESERVED_SPECIMEN,,24,-107.5333333,MEXICO,MX,3/30/78,1978,Animalia,Sicyoniidae,Isabel Pérez Farfante,IOP-SEMAR,SMIOM,NO DISPONIBLE,Silvia Toral Almazán,Sicyonia picta,NO APLICA,,
identified,1893993412,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:184313:c7e1588cd7742d7d36be972df07d58cb,PRESERVED_SPECIMEN,,18.8166667,-95.2833333,MEXICO,MX,6/5/70,1970,Animalia,Paguridae,Isabel Pérez Farfante,NMNH-SI,USNM,184313,R/V Oregon II,Tomopagurus cokeri,NO APLICA,,
identified,1893993374,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:180448:4fd2c2fb3524dbe8761daa7e0860eec6,PRESERVED_SPECIMEN,,19.055,-92.595,MEXICO,MX,6/9/70,1970,Animalia,Ocypodidae,Isabel Pérez Farfante,NMNH-SI,USNM,180448,R/V Oregon II,Uca (Minuca) marguerita,NO APLICA,,
identified,1893993363,372fc871-64bd-4fd3-bc32-7dc6eb4dcfd4,CC_BY_4_0,urn:catalog:NMNH-SI:USNM:180445:63679ef6152863478b457542c947dfd3,PRESERVED_SPECIMEN,,18.8166667,-95.2833333,MEXICO,MX,6/5/70,1970,Animalia,Ocypodidae,Isabel Pérez Farfante,NMNH-SI,USNM,180445,R/V Oregon II,Uca (Minuca) marguerita,NO APLICA,,
