action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,2643389333,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/309e76ae4-142d-4f54-8b4c-0019a73ff2cc,PRESERVED_SPECIMEN,,8.95,-79.5278,Panama,PA,,1971,incertae sedis,,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 47902,"C. Dawson, Dawson & Mccosker",unpublished name,,,
identified,1321097267,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ac4133f1-2841-450c-b5df-6d5190c7336c,PRESERVED_SPECIMEN,,,,United States,US,,1953,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 26462,,Hartmania moorei,Type,,
identified,1322155162,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3db1ac15f-63db-43d3-b1f0-757260f47f9e,PRESERVED_SPECIMEN,,51.68,-56.33,Canada,CA,,1949,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 23765,D. Nutt,Gattyana nutti,Type,,
identified,1321153958,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3aec03ca6-0976-429d-b9d1-b724dbb9b316,PRESERVED_SPECIMEN,,41.5431,-70.9122,United States,US,,1953,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 26457,J. Dearborn,Harmothoe dearborni,Type,,
identified,2416973198,a267b6a7-91f9-457c-889a-481e7aa920b6,CC0_1_0,urn:catalog:SIO:BIC:A9416,PRESERVED_SPECIMEN,,45.933333,-130.016667,,,7/18/84,1984,Animalia,Polynoidae,Marian H. Pettibone,SIO,BIC,A9416,"R. Embley, M. Jones",Lepidonotopodium piscesae,paratype,,
identified,1039278037,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:d2c1e37d-62e5-423f-9b38-1ef10e0bffa5,PRESERVED_SPECIMEN,,41.3570975,-71.8075848,USA,US,1873-04-13,1873,Animalia,Phyllodocidae,Marian H. Pettibone,YPM,IZ,YPM IZ 002740.AN,"Verrill, A. E.",Phyllodoce gracilis,syntype,,
identified,699116536,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:ANNc-2238,PRESERVED_SPECIMEN,1970,28.7,-88.66666667,United States,US,1877-12-01/1878-03-31,1877,Animalia,Sigalionidae,Marian H. Pettibone,MCZ,IZ,ANNc-2238,USCSS Blake Expeditions,"Ehlersileanira incisa (Grube, 1877) (Grube, 1877)",Syntype of Sthenelais simplex| Voucher of Sthenelais simplex,,
identified,1319871472,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37610883b-e034-48ac-a135-7c91acb50909,PRESERVED_SPECIMEN,,39.9517,-69.27,United States,US,,1881,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 26460,United States Fish Commission,Austrolaenilla lanelleae,Type,,
identified,1320525402,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/392fb5476-b8eb-48f4-8b9a-9c66c488239d,PRESERVED_SPECIMEN,,,,United States,US,,1952,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 26458,,Harmothoe macginitiei,Type,,
identified,2416970608,a267b6a7-91f9-457c-889a-481e7aa920b6,CC0_1_0,urn:catalog:SIO:BIC:A9415,PRESERVED_SPECIMEN,,45.95,-130.016667,,,7/16/84,1984,Animalia,Polynoidae,Marian H. Pettibone,SIO,BIC,A9415,"A. Malahoff, S. Hammond",Branchinotogluma tunnicliffeae,paratype,,
identified,1319333433,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/35e46bcd4-5f80-4251-bcd6-7e97f0e956fa,PRESERVED_SPECIMEN,,,,United States,US,,1938,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 32251,M. Pettibone,Gattyana treadwelli,Type,,
identified,1321555120,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c07afbe7-f88e-4d89-bc4b-4b714ddd4b79,PRESERVED_SPECIMEN,,,,United States,US,,1952,Animalia,Ampharetidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 24735,M. Gray,Hypaniola grayi,Syntype,,
identified,1318292528,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/33034ef21-fa39-49f1-8512-c5f566aef21d,PRESERVED_SPECIMEN,,37.2061,-74.3344,United States,US,,1883,Animalia,Orbiniidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 3178,United States Fish Commission,Scoloplos (Scoloplos) schmitti,Syntype,,
identified,1317539579,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/30eeee923-d6bd-4d34-8f66-37231f422d09,PRESERVED_SPECIMEN,,,,United States,US,,1950,Animalia,Ampharetidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 24734,M. Gray,Hypaniola grayi,Syntype,,
identified,1675944738,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/39b10ea75-457a-492c-80f9-df0272192491,PRESERVED_SPECIMEN,,18.2,-67.15,Puerto Rico,PR,,1899,Animalia,Sigalionidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 15954,United States Fish Commission,Pelogenia hartmanae,Paratype,,
identified,1322985557,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ffde7c68-3347-40cc-8d63-ad4474ca9a2d,PRESERVED_SPECIMEN,,0.795,-86.1283,Ecuador,EC,,1979,Animalia,Polynoidae,"Pettibone, Marian Hope, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 97466,Woods Hole Oceanographic Institution,Levensteiniella kincaidi,Paratype,,
