action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1322949497,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fe45e31e-6c3d-44ac-9561-b7bad672faea,PRESERVED_SPECIMEN,,32.35,-64.87,Bermuda,BM,,1976,Animalia,Golfingiidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170799,M. L. Jones,Golfingia elongata,,,
identified,1322909943,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fc854611-7b5d-4ffa-a67d-57ddf6dabf58,PRESERVED_SPECIMEN,,28.0683,-86.5733,United States,US,,1984,Animalia,Golfingiidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187448,LGL Ecological Research Associates For BLM/ MMS,Golfingia (Golfingia) sp.,,,
identified,1322896444,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fbeb43bc-d769-455d-b10d-cf2d0b00d247,PRESERVED_SPECIMEN,,,,United States,US,,1979,Animalia,Phascoliidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237588,B. Bartlett,Phascolion cryptum,,,
identified,1322863167,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fa740962-158f-4be1-8989-4975259beb61,PRESERVED_SPECIMEN,,27.63,-95.3583,United States,US,,1968,Animalia,Sipunculidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1221621,Tereco Corporation,Sipunculus sp.,,,
identified,1322816909,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f866217b-1cab-4bb0-8947-cb1517cdd061,PRESERVED_SPECIMEN,,28.0083,-86.6483,United States,US,,1984,Animalia,,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187479,LGL Ecological Research Associates For BLM/ MMS,Sipuncula,,,
identified,1322777979,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f6aa6d2e-0be7-402e-b9df-d26d2cda6831,PRESERVED_SPECIMEN,,28.1,-89.97,United States,US,,1986,Animalia,Siboglinidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1201697,,Galathealinum sp.,,,
identified,1322774004,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f67d54cd-34d5-4238-a70a-2a790868ccdd,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1955,Animalia,Phascolosomatidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170813,P. Hummelinck,Phascolosoma perlucens,,,
identified,1322750800,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f5757341-795e-4ea2-b354-1dd7888543ac,PRESERVED_SPECIMEN,,,,United States,US,,1983,Animalia,Themistidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237539,"J. Norenburg, J. Piraino & H. Reichardt",Themiste alutacea,,,
identified,1322739804,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f4f93ce7-254f-45b5-ac16-2c4c43249eb7,PRESERVED_SPECIMEN,,,,United States,US,,1993,Animalia,Golfingiidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237651,Strom et al.,Golfingia elongata,,,
identified,1322719120,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f40d74db-f884-427a-879e-15bd61985693,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1948,Animalia,Phascolosomatidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1163508,P. Hummelinck,Phascolosoma perlucens,,,
identified,1322707866,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f38e41ff-32b9-4ec0-9b30-6b3c4d6001db,PRESERVED_SPECIMEN,,-0.68,73.1883,Maldives,MV,,1964,Animalia,Sipunculidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1201692,M. Rice et al.,Siphonosoma cumanense,,,
identified,1322699667,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f330970e-4735-4c68-a734-f4ddd7abfb78,PRESERVED_SPECIMEN,,23.9,-82.35,United States,US,,1964,Animalia,Siboglinidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170627,University of Miami,Sclerolinum major,,,
identified,1322651359,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f10aeecb-4d02-49ec-b9ee-e9714103e15e,PRESERVED_SPECIMEN,,27.4917,-95.52,United States,US,,1968,Animalia,Sipunculidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1221622,Tereco Corporation,Sipunculus sp.,,,
identified,1322603993,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3eeee10ed-d3b1-4a64-b247-09bfcc115b7f,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1948,Animalia,Phascolosomatidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1163502,P. Hummelinck,Phascolosoma perlucens,,,
identified,1322588676,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ee420b46-ffa6-4e4e-bbda-924e1e6a1305,PRESERVED_SPECIMEN,,27.8269,-90.1211,United States,US,,1984,Animalia,Golfingiidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187471,LGL Ecological Research Associates For BLM/ MMS,Golfingia (Golfingia) sp.,,,
identified,1322575222,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3edaa1c89-1e97-49f7-b1fa-71e76d72c9ff,PRESERVED_SPECIMEN,,,,United States,US,,1993,Animalia,Phascoliidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237603,H. Reichardt & J. Piraino,Phascolion cryptum,,,
identified,1322520384,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3eb3dca59-b510-452d-aa5c-f5bfb43d4fb9,PRESERVED_SPECIMEN,,,,Venezuela,VE,,1967,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1197412,M. Rice,Aspidosiphon (Paraspidosiphon) fischeri,,,
identified,1322507254,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3eaa986c5-a160-4754-a465-c1dec6a5b267,PRESERVED_SPECIMEN,,,,United States,US,,1974,Animalia,Themistidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237627,C. Eiseman,Themiste lageniformis,,,
identified,1322497225,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ea36e920-0f84-41e3-8390-d29e48d68617,PRESERVED_SPECIMEN,,28.0533,-90.2533,United States,US,,1983,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187422,LGL Ecological Research Associates For BLM/ MMS,Aspidosiphon sp.,,,
identified,1322460491,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e897ac9c-37c8-4acb-8a6d-c0720407240b,PRESERVED_SPECIMEN,,28.0708,-86.5792,United States,US,,1984,Animalia,Sipunculidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187475,LGL Ecological Research Associates For BLM/ MMS,Siphonosoma sp.,,,
identified,1322452897,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e84463e3-55aa-42fc-ab63-60e5837f27dc,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1930,Animalia,Phascolosomatidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1163528,P. Hummelinck,Phascolosoma perlucens,,,
identified,1322452465,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e8400aa3-66d0-42cc-bab4-4cbddd8032e3,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1963,Animalia,Golfingiidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170814,P. Hummelinck,Nephasoma sp.,,,
identified,1322445037,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e7ed928b-3e8d-4a50-9557-6ec2b53fcbea,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1948,Animalia,Phascolosomatidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1163520,P. Hummelinck,Phascolosoma perlucens,,,
identified,1322435312,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e77e5c4c-7d5b-4dc9-b200-b092e46a9d5f,PRESERVED_SPECIMEN,,,,United States,US,,1984,Animalia,Sipunculidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237565,J. Piraino & S. Petry,Siphonosoma cumanense,,,
identified,1322380208,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e50d7eae-bda9-460c-ac53-a64eeb38db5d,PRESERVED_SPECIMEN,,28.2783,-86.2517,United States,US,,1984,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1187426,LGL Ecological Research Associates For BLM/ MMS,Aspidosiphon sp.,,,
identified,1322359801,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e425144a-1f7f-4278-a68d-3e320f4b3210,PRESERVED_SPECIMEN,,,,,,,1986,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170802,L. Disalvo,Aspidosiphon sp.,,,
identified,1322346800,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e39170a1-34a0-4765-b758-cbb367163c8d,PRESERVED_SPECIMEN,,,,United States,US,,1981,Animalia,Themistidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237640,"M. Rice, J. Piraino & H. Reichardt",Themiste lageniformis,,,
identified,1322345443,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e3833d57-ed08-4c59-a24e-deee65a38f00,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1948,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1170818,R. Hummelinck,Lithacrosiphon sp.,,,
identified,1322316214,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e23978af-859e-457e-941b-4852692b5f16,PRESERVED_SPECIMEN,,,,Canada,CA,,1973,Animalia,Themistidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1237652,B. Carl,Themiste pyroides,,,
identified,1322288115,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e0fb9336-ca0f-4fdc-9e28-0b5d30798f3c,PRESERVED_SPECIMEN,,,,Bermuda,BM,,1976,Animalia,Aspidosiphonidae,"Rice, Mary Esther, Smithsonian Institution - National Museum of Natural History (UNITED STATES)",USNM,IZ,USNM 1185674,M. L. Jones,Aspidosiphon sp.,,,
