action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,606650318,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,CC_BY_4_0,,PRESERVED_SPECIMEN,,7.98333,80.91666,Sri Lanka,LK,1/9/70,1970,Plantae,Malvaceae,,UConn,CONN,CONN00125240,"Fosberg, F.R.; Ripley, Suzanne",Abutilon indicum Sweet,,,
recorded,1258898774,7bd65a7a-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,urn:catalog:MO:Tropicos:1661252,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,1971,Plantae,Fabaceae,,MO,MO,1661252,Suzanne Ripley,Crotalaria pallida Blanco,,,
recorded,2610078823,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,9291c0cd-131b-4cea-b9d3-ceca8381c2fa,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,12/18/70,1970,Plantae,Euphorbiaceae,,RSA,RSA,RSA0147442,Suzanne Ripley,Acalypha ciliata,,,
recorded,2610078985,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,bc49e50c-7c52-497b-9518-05422ee00f51,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,12/18/70,1970,Plantae,Euphorbiaceae,,RSA,RSA,RSA0147118,Suzanne Ripley,Acalypha indica,,,
recorded,3751293342,96beb7d8-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,a8837f5c-b988-4462-a3e6-ec63f94e9bed,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,5/27/68,1968,Plantae,Apocynaceae,,HAW,HAW,HAW06383,Suzanne Ripley,Carissa spinarum,,,
recorded,3751295753,96beb7d8-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,a8ea834b-f85e-4ce6-a19e-8b99a50004bc,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,1/31/69,1969,Plantae,Apocynaceae,,HAW,HAW,HAW06467,Suzanne Ripley,Ichnocarpus frutescens,,,
recorded,3751303733,96beb7d8-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,4cd9ae81-673d-40b5-8a25-ea16bc6f737d,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,5/26/69,1969,Plantae,Amaranthaceae,,HAW,HAW,HAW05381,Suzanne Ripley,Aerva lanata,,,
recorded,3751304733,96beb7d8-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,435d6796-0ab8-43a4-8db5-ab6c6a11de09,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,,Plantae,Amaranthaceae,,HAW,HAW,HAW05517,Suzanne Ripley,Amaranthus spinosus,,,
recorded,3092928610,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b769dda0-92f8-4aae-b388-548c201d33f8,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,,Plantae,Poaceae,,US,US,US 2718620,S. Ripley,Enteropogon dolichostachyus,,,
recorded,3092927617,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c22a543f-c4f2-4d3d-b4d3-4ef19cbf4dda,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,1970,Plantae,Poaceae,,US,US,US 2716335,S. Ripley,Sporobolus diandrus,,,
recorded,3092924507,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/383eab332-5570-464a-b795-5e4cbd580fca,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,1970,Plantae,Poaceae,,US,US,US 2719586,S. Ripley,Cynodon dactylon,,,
recorded,3092919362,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/31c8b9bdf-47f9-4619-9994-bb7724e0a3fc,PRESERVED_SPECIMEN,,,,Sri Lanka,LK,,1969,Plantae,Poaceae,,US,US,US 2718619,S. Ripley,Enteropogon dolichostachyus,,,
