action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1426218320,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:3621,PRESERVED_SPECIMEN,1960,,,Mexico,MX,1885-09-15,1885,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,3621,"Pringle, Cyrus Guernsey",Nissolia pringlei Rose,Isotype,,
identified,1426212300,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:119,PRESERVED_SPECIMEN,1961,,,Mexico,MX,10/18/02,1902,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,119,"Pringle, Cyrus Guernsey",Aeschynomene pringlei Rose,Isotype,,
identified,1426198530,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:3727,PRESERVED_SPECIMEN,1960,,,Brazil,BR,10/10/42,1942,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,3727,"Froes, Ricardo de Lemos",Ormosia bahiensis Monachino,Isotype,,
identified,1426158302,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:1988,PRESERVED_SPECIMEN,1960,,,Mexico,MX,1916-12,1916,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,1988,"Gaumer, George Franklin; and sons",Chaetocalyx vestita Standl.,Isotype,,
identified,1426141066,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:3724,PRESERVED_SPECIMEN,1/7/66,,,Panama,PA,6/30/38,1938,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,3724,"Davidson, Mary Elizabeth Spence",Ormosia cruenta Rudd,Isotype,,
identified,1426138324,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:3272,PRESERVED_SPECIMEN,1976-05,,,Brazil,BR,,,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,3272,"Claussen, Peter",Machaerium minutiflorum Tulasne,Isotype,,
identified,1426081208,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:117,PRESERVED_SPECIMEN,1960,,,Mexico,MX,1897-09-01/30,1897,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,117,"Palmer, Edward",Aeschynomene fruticosa Rose,Isotype,,
identified,1426086424,f934f8e2-32ca-46a7-b2f8-b032a4740454,CC0_1_0,urn:catalog:CAS:BOT-BC:3620,PRESERVED_SPECIMEN,1991-02,,,Mexico,MX,2/14/40,1940,Plantae,Fabaceae,Velva Elaine Rudd,CAS,BOT-BC,3620,"Gentry, Howard Scott",Nissolia gentryi Rudd,Holotype,,
identified,1056846146,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,2e337b9b-b8f8-4267-9bf7-2f8758275255,PRESERVED_SPECIMEN,,22.883478,79.616202,India,IN,,1813,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000946779,William Roxburgh,Desmodium gyroides DC.,TYPE,,
identified,1056323593,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,bd8a38d7-6a85-4a02-81c6-31f0f8e8be1e,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958822,W Roxburgh,Cassia roxburghiana Graham,TYPE,,
identified,1057495061,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,9a6cfd91-8471-4696-9729-6269c964a500,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958682,Roxburgh,Dalbergia rubiginosa Roxb.,Type,,
identified,1057357962,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,b24d99cd-20c4-43ff-b874-a4ce809634fb,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958685,König,Dalbergia lanceolaria L.f.,Type,,
identified,1057187031,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,bcb40698-4b8d-4d18-b84b-557b284b5964,PRESERVED_SPECIMEN,,,,Austria,AT,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM001134355,Anon.,Galactia striata (Jacq.) Urb.,Type,,
identified,1056961819,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,ba70d20e-125c-48ad-afe2-8a0e4f30d943,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958678,Roxburgh,Dalbergia latifolia Roxb.,Type,,
identified,1056645043,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,8b096115-5e34-46a9-8ed1-376dd09434ae,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000839095,W Roxburgh,Tadehagi triquetrum subsp. triquetrum (L.) H.Ohashi,Type,,
identified,1056018420,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,13f4deff-b9c9-48e2-a46a-d59c374315ec,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958687,Anon.,Dalbergia lanceolaria L.f.,Type,,
identified,1055661001,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,70d0af04-e88d-4097-a682-a9295b5c0d32,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958766,Anon.,Pongamia pinnata (L.) Pierre,Type,,
identified,1055649393,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,2b578f80-adbf-4cc8-844f-c4a5be9f72b2,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958681,Roxburgh,Dalbergia sissoo Roxb.,Type,,
identified,1055474459,7e380070-f762-11e1-a439-00145eb45e9a,CC0_1_0,46f9fbbd-c666-4872-8c61-7fc011fe30a4,PRESERVED_SPECIMEN,,,,,,,,Plantae,Fabaceae,Velva Elaine Rudd,NHMUK,BOT,BM000958655,Anon.,Rhynchosia hirta (Andrews) Meikle & Verdc.,Type,,
