action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,1321270164,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b3e4fb74-01a8-47d0-b564-d8a5bd7558d4,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Sturnidae,,USNM,Birds,USNM 298385,V. Snyder,Sturnus vulgaris vulgaris,,,
recorded,1320836538,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a0be6985-a28b-47d2-a560-ca553e081244,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Muridae,,USNM,MAMM,USNM 287866,V. Snyder,Mus musculus domesticus,,,
recorded,1317524265,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/30e3f8a12-4897-423e-a7b9-994ad81d03b6,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Corvidae,,USNM,Birds,USNM 465422,V. Snyder,Corvus brachyrhynchos brachyrhynchos,,,
recorded,1317691641,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/315a16af4-88ac-4acf-949c-2f6f6cb0fed6,PRESERVED_SPECIMEN,,,,United States,US,,1928,Animalia,Cricetidae,,USNM,MAMM,USNM 248548,R. Greenfield & V. Snyder,Microtus pennsylvanicus pennsylvanicus,,,
recorded,1318230239,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/32d738116-d8aa-43dc-a539-55142dedc6c9,PRESERVED_SPECIMEN,,,,United States,US,,1944,Animalia,Muridae,,USNM,MAMM,USNM 274472,O. Muennink & V. Schantz,Mus musculus domesticus,,,
recorded,2236007549,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/398aed43e-3dca-4f49-a853-9109c00e76ce,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Columbidae,,USNM,Birds,USNM 465423,V. Snyder,Columba livia,,,
recorded,1320584671,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3959ccd5f-a24a-4e78-a1d3-39b7057e7550,PRESERVED_SPECIMEN,,,,United States,US,,1927,Animalia,Cricetidae,,USNM,MAMM,USNM 248340,V. Snyder,Microtus pinetorum scalopsoides,,,
recorded,1320361804,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/38bc43c52-ef1e-468a-8f01-690705c375fd,PRESERVED_SPECIMEN,,,,United States,US,,1930,Animalia,Cricetidae,,USNM,MAMM,USNM 249390,G. Dikmans & V. Snyder,Microtus pinetorum scalopsoides,,,
recorded,1320253565,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/386f3f59e-8ee4-43cd-874f-4ffe04aad91d,PRESERVED_SPECIMEN,,,,United States,US,,1928,Animalia,Cricetidae,,USNM,MAMM,USNM 248341,V. Snyder,Microtus pinetorum scalopsoides,,,
recorded,1320009471,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37c2a9e0d-24bb-43a7-98dc-70a4967bc012,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Passeridae,,USNM,Birds,USNM 465424,V. Snyder,Passer domesticus domesticus,,,
recorded,1318993793,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/34f39dec3-99ee-4251-ae8d-d1e620374811,PRESERVED_SPECIMEN,,,,Canada,CA,,1926,Animalia,Dipodidae,,USNM,MAMM,USNM 246547,V. Snyder & V. Bailey,Napaeozapus insignis insignis,,,
recorded,1318818591,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/347791cb9-5ea7-44a8-9486-221194af3ed1,PRESERVED_SPECIMEN,,,,United States,US,,1928,Animalia,Cricetidae,,USNM,MAMM,USNM 248547,V. Snyder,Peromyscus leucopus noveboracensis,,,
recorded,1318682711,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/34178dd2d-5ea2-4dda-b3d9-e8be1da1f42f,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Passeridae,,USNM,Birds,USNM 465425,V. Snyder,Passer domesticus domesticus,,,
