action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,699113318,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6944,PRESERVED_SPECIMEN,,,,,,,,Animalia,Cirolanidae,Harriet Richardson,MCZ,IZ,CRU-6944,[no agent data],"Politolana polita (Stimpson, 1853)",Voucher of Politolana polita,,
identified,699115843,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6733,PRESERVED_SPECIMEN,1905,,,,,1800-01-01/1950-01-01,1800,Animalia,Sphaeromatidae,Harriet Richardson,MCZ,IZ,CRU-6733,[no agent data],"Paradynamene benjamensis Richardson, 1905",Syntype of Paradynamene benjamensis,,
identified,609398989,44bcde48-ac71-46f2-bf73-24fc3c008b6c,CC0_1_0,urn:catalog:CAS:IZ:21786,PRESERVED_SPECIMEN,1901,,,,,1898-11-23,1898,Animalia,Tanaididae,Harriet Richardson,CAS,IZ,21786,Hopkins Stanford Galap. Exp.,Tanais stanfordi,PARATYPE,,
identified,699114042,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6960,PRESERVED_SPECIMEN,1907,-51.31667,-74.08333,Chile,CL,1872-03-28,1872,Animalia,Sphaeromatidae,Harriet Richardson,MCZ,IZ,CRU-6960,Hassler Expedition,"Isocladus magellanensis Richardson, 1907",Holotype of Isocladus magellanensis,,
identified,1321762796,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c9b2d23b-996c-4f16-9bff-adbfc9d9a15c,PRESERVED_SPECIMEN,,,,United States,US,,1907,Animalia,Cymothoidae,"Richardson, Harriet, Smithsonian Institution",USNM,IZ,USNM 1325670,M. Hall,Livoneca ovalis,,,
identified,1675987691,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c26261d2-4540-45f2-ab8d-e19766e35fc4,PRESERVED_SPECIMEN,,39.9,-67.0917,United States,US,,1885,Animalia,Neotanaidae,"Richardson, Harriet, Smithsonian Institution",USNM,IZ,USNM 41860,United States Fish Commission,Neotanais americanus,,,
identified,699124417,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6807,PRESERVED_SPECIMEN,,41.468496,-71.290169,United States,US,1876-01-01/1876-12-31,1876,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6807,Alexander Agassiz,"Idotea metallica Bosc, 1802",,http://viaf.org/viaf/5016739,
identified,699124110,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6887,PRESERVED_SPECIMEN,,41.468496,-71.290169,United States,US,1876-01-01/1876-12-31,1876,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6887,Alexander Agassiz,"Idotea phosphorea Harger, 1873",,http://viaf.org/viaf/5016739,
identified,699124094,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6906,PRESERVED_SPECIMEN,,40.00003,-89.2504,United States,US,,,Animalia,Asellidae,Harriet Richardson,MCZ,IZ,CRU-6906,Shiner,"Caecidotea communis (Say, 1818)",,,
identified,699124975,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6823,PRESERVED_SPECIMEN,,42.056907,-70.196491,United States,US,1872-07-01/1872-07-31,1872,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6823,James Henry Blake,"Idotea phosphorea Harger, 1873",,,
identified,699127931,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6931,PRESERVED_SPECIMEN,,41.355938,-70.840187,United States,US,,,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6931,"Alpheus S. Packard, Jr.","Idotea metallica Bosc, 1802",,,
identified,350613560,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:b60657a3-1e47-4070-8c64-e0d1466615d6,PRESERVED_SPECIMEN,,24.55,-81.77,USA,US,1874,1874,Animalia,Idoteidae,Harriet Richardson,YPM,IZ,YPM IZ 042575,"Palmer, E.",Erichsonella floridana,,,
identified,699124142,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6914,PRESERVED_SPECIMEN,,42.411943,-70.904677,United States,US,1858-07-01/1858-07-31,1858,Animalia,Chaetiliidae,Harriet Richardson,MCZ,IZ,CRU-6914,Caleb Cooke,"Chiridotea coeca (Say, 1818)",,,
identified,699110787,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6763,PRESERVED_SPECIMEN,,42.411943,-70.904677,United States,US,,,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6763,Alexander Agassiz,"Idotea marina (Linnaeus, 1758)",,http://viaf.org/viaf/5016739,
identified,699127027,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6848,PRESERVED_SPECIMEN,,41.761264,-124.218761,United States,US,1859-12-01,1859,Animalia,Porcellionidae,Harriet Richardson,MCZ,IZ,CRU-6848,Alexander Agassiz,"Porcellio scaber Latreille, 1804",,http://viaf.org/viaf/5016739,
identified,699124137,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6908,PRESERVED_SPECIMEN,,32.754788,-79.867144,United States,US,,,Animalia,Armadillidiidae,Harriet Richardson,MCZ,IZ,CRU-6908,"Alpheus S. Packard, Jr.","Armadillidium vulgare (Latreille, 1804)",,,
identified,699124062,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6816,PRESERVED_SPECIMEN,,37.7,-122.267,United States,US,,,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6816,William H. Dall,"Pentidotea wosnesenskii (Brandt, 1851)",,,
identified,699124091,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6903,PRESERVED_SPECIMEN,,42.512075,-70.905642,United States,US,,,Animalia,Halophilosciidae,Harriet Richardson,MCZ,IZ,CRU-6903,"Alpheus S. Packard, Jr.","Philoscia vittata Say, 1818",,,
identified,477979476,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:87012,PRESERVED_SPECIMEN,,42.32228,-79.578103,United States,US,,,Animalia,Porcellionidae,Harriet Richardson,MCZ,IZ,87012,H. J. Clark,"Porcellio scaber Latreille, 1804",,,
identified,699126580,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6796,PRESERVED_SPECIMEN,,44.505054,-73.368936,United States,US,1863-01-01/1863-12-31,1863,Animalia,Trachelipodidae,Harriet Richardson,MCZ,IZ,CRU-6796,Frederic W. Putnam,"Trachelipus rathkii (Brandt, 1833)",,,
identified,699130165,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-1068,PRESERVED_SPECIMEN,,37.7,-122.267,United States,US,1860-03-27,1860,Animalia,Cirolanidae,Harriet Richardson,MCZ,IZ,CRU-1068,Alexander Agassiz,"Cirolana harfordi (Lockington, 1877)",,http://viaf.org/viaf/5016739,
identified,699124029,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6844,PRESERVED_SPECIMEN,,42.056907,-70.196491,United States,US,1868-07-01/1868-07-31,1868,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6844,James Henry Blake,"Idotea marina (Linnaeus, 1758)",,,
identified,699109858,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6867,PRESERVED_SPECIMEN,,37.000425,-76.311332,United States,US,,,Animalia,Idoteidae,Harriet Richardson,MCZ,IZ,CRU-6867,C. N. Willard,"Idotea marina (Linnaeus, 1758)",,,
identified,699128193,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6805,PRESERVED_SPECIMEN,,37.7,-122.267,United States,US,,,Animalia,Alloniscidae,Harriet Richardson,MCZ,IZ,CRU-6805,Samuel Walton Garman,Alloniscus perconvexus Dana,,http://viaf.org/viaf/8171341,
identified,699124416,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,CC_BY_NC_4_0,MCZ:IZ:CRU-6806,PRESERVED_SPECIMEN,,,,,,1863-01-01/1863-12-31,1863,Animalia,Porcellionidae,Harriet Richardson,MCZ,IZ,CRU-6806,Putnam,"Porcellio scaber Latreille, 1804",,,
