action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,1318052846,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/325982c24-b970-470c-a6d1-dc31a00fc900,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396913,L. St. Hoyme,Felis catus,,,
recorded,1319050087,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/351b7c041-ce73-4190-900f-ac65da2a43be,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396392,L. St. Hoyme,Felis catus,,,
recorded,1319079021,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/353016fb0-66fc-432f-9d0a-77a4ddad01f1,PRESERVED_SPECIMEN,,,,United States,US,,1977,Animalia,Felidae,,USNM,MAMM,USNM 521074,L. St. Hoyme,Felis catus,,,
recorded,1319209398,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/358c90af1-d94c-4d00-959e-5efb1d30e3bc,PRESERVED_SPECIMEN,,,,United States,US,,1973,Animalia,Felidae,,USNM,MAMM,USNM 397630,L. St. Hoyme,Felis catus,,,
recorded,1319358536,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/35f5f3002-6fd9-42a2-ad0d-3e33365b7341,PRESERVED_SPECIMEN,,,,United States,US,,1974,Animalia,Felidae,,USNM,MAMM,USNM 398033,L. St. Hoyme,Felis catus,,,
recorded,1319919112,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3782bdd6b-194d-445b-a8d1-7cad9fbe1958,PRESERVED_SPECIMEN,,,,United States,US,,1978,Animalia,Felidae,,USNM,MAMM,USNM 399114,L. St. Hoyme,Felis catus,,,
recorded,1320953677,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a5ebf8c9-1a0c-4875-abe5-22d53645178b,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396612,L. St. Hoyme,Felis catus,,,
recorded,1321560292,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c0b60fa9-1bc3-48ad-bec9-a6ad0bab95ba,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396912,L. St. Hoyme,Felis catus,,,
recorded,1321914528,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d06f62a5-cf11-4d66-bf0a-870f1ceca6bd,PRESERVED_SPECIMEN,,,,United States,US,,1979,Animalia,Felidae,,USNM,MAMM,USNM 399327,L. St. Hoyme,Felis catus,,,
recorded,1321962704,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d2932382-695e-4ff7-a98d-d13915121148,PRESERVED_SPECIMEN,,,,United States,US,,1977,Animalia,Felidae,,USNM,MAMM,USNM 398756,L. St. Hoyme,Felis catus,,,
recorded,1322093966,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d865e782-db3d-4d1d-b517-85737922d634,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396611,L. St. Hoyme,Felis catus,,,
recorded,1322463862,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e8bdeb2c-d275-446b-82b1-407b2848e129,PRESERVED_SPECIMEN,,,,United States,US,,1973,Animalia,Felidae,,USNM,MAMM,USNM 397631,L. St. Hoyme,Felis catus,,,
recorded,1322853549,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fa06905e-cb7f-4145-813b-492b1fc9b1e4,PRESERVED_SPECIMEN,,,,United States,US,,1972,Animalia,Felidae,,USNM,MAMM,USNM 396605,L. St. Hoyme,Felis catus,,,
recorded,1318088389,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3272b706b-268b-4dac-b3c2-a8f87df1721b,PRESERVED_SPECIMEN,,,,United States,US,,1973,Animalia,Felidae,,USNM,MAMM,USNM 397629,L. St. Hoyme,Felis catus,,,
