action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,1319485650,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/364ff440e-55c1-409c-b250-97f29dfc8fa2,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Onagraceae,,US,US,US 564751,M. Stevenson,Anogra ctenophylla,Holotype,,
recorded,3092907739,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fdff2262-f105-4395-a2cd-c5cae3b435d4,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Poaceae,,US,US,US 564735,M. Stevenson,Sporobolus giganteus,,,
recorded,2549572825,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bf91f1d6-43bf-4314-b380-f4d6b801992f,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Cleomaceae,,US,US,US 564721,M. Stevenson,Polanisia dodecandra var. trachysperma,,,
recorded,2549479502,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3267b09a7-8dcb-4884-89ad-140bf7e57313,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Grossulariaceae,,US,US,US 564752,M. Stevenson,Ribes inebrians,,,
recorded,2512848335,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bf6623f5-5d65-4ce4-bd8c-6d116d3f7d60,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Brassicaceae,,US,US,US 564754,M. Stevenson,Rorippa sinuata,,,
recorded,2512830137,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3978e0683-1740-4246-903c-a2695df5a62d,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Cleomaceae,,US,US,US 564724,M. Stevenson,Cleome serrulata,,,
recorded,2512826193,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fd5e3f7c-4896-4db7-bf77-3cd8fae8d613,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Brassicaceae,,US,US,US 564770,M. Stevenson,Dithyrea wislizeni,,,
recorded,2512773152,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37a08d430-6a76-4d62-af39-eeba8680972e,PRESERVED_SPECIMEN,,,,United States,US,,1902,Plantae,Brassicaceae,,US,US,US 564740,M. Stevenson,Dithyrea wislizeni var. griffithsii,,,
recorded,2512757529,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/33affafb4-e486-4abc-b6cd-388165fbc9db,PRESERVED_SPECIMEN,,,,United States,US,,1909,Plantae,Papaveraceae,,US,US,US 615405,M. Stevenson,Corydalis aurea subsp. occidentalis,,,
recorded,2512752663,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/327088c48-e79a-4b7e-ab84-093b71e9f7b2,PRESERVED_SPECIMEN,,,,United States,US,,1910,Plantae,Brassicaceae,,US,US,US 615406,M. Stevenson,Descurainia pinnata subsp. halictorum,,,
