action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,2830686007,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,c1e62728-d5ed-4c24-a26a-71873009f6d5,PRESERVED_SPECIMEN,1992,-33.033333,151.05,Australia,AU,9/6/59,1959,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 73349.1,"Story, R.",Leptospermum parvifolium,,,
identified,2830602516,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,c0397f34-dd26-469d-a8db-4980ce681c09,PRESERVED_SPECIMEN,1992,-32.016667,150.75,Australia,AU,11/24/74,1974,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 395072.1,"Coveny, R.|Hind, P.|Hancock, R.",Leptospermum parvifolium,,,
identified,2830200058,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,563e23a3-6d31-497c-8d07-fe81bb5d6324,PRESERVED_SPECIMEN,1992,-33.65,151.05,Australia,AU,4/30/60,1960,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 84572.1,"Mackee, H.S.",Leptospermum parvifolium,,,
identified,2830023634,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,5399b89b-61a5-410d-b8d9-2618a91a068a,PRESERVED_SPECIMEN,1992,-32.85,150.183333,Australia,AU,11/24/77,1977,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 395002.1,"Coveny, R.",Leptospermum parvifolium,,,
identified,2829879360,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,fadabbd9-4371-42ff-9def-6fefb40cc4a0,PRESERVED_SPECIMEN,1992,-33.883333,151.216667,Australia,AU,1804,1804,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 278808.1,"Brown, R.",Leptospermum parvifolium,,,
identified,2829857471,15738fee-78b1-4751-bcc1-cbf7139c68de,CC_BY_4_0,87788bbc-a3ef-4d57-abbe-2612b43b67b0,PRESERVED_SPECIMEN,1992,-33.6,151.166667,Australia,AU,,,Plantae,Myrtaceae,"Thompson, A.P.",CANB,CANB,CANB 7023.1,,Leptospermum parvifolium,,,
identified,2989941769,9781ce05-2379-4a10-ab3b-c91346510df8,CC_BY_NC_4_0,a2d946ba-908c-41b4-be61-61b1bdc91272,PRESERVED_SPECIMEN,1872,37.032413,-112.516014,United States,US,1872-00-00,1872,Plantae,Fabaceae,A. P. Thompson,RSA,VascularPlants,RSA0200891,A. P. Thompson,Astragalus thompsonae,,,
recorded,1322694521,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3f2f55600-5475-47d7-9bf1-51c59346bb7c,PRESERVED_SPECIMEN,,,,United States,US,,1872,Plantae,Liliaceae,,US,US,US 48083,E. P. Thompson,Calochortus aureus,Type Collection,,
recorded,1320520725,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/392c65eed-2fa9-4bd1-b5b9-70fa3615e425,PRESERVED_SPECIMEN,,,,United States,US,,1872,Plantae,Nyctaginaceae,,US,US,US 22754,E. P. Thompson,Oxybaphus glaber,Type Collection,,
recorded,1318312218,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3311458dd-4f47-429d-9d21-ce8514b7c877,PRESERVED_SPECIMEN,,,,United States,US,,1872,Plantae,Fabaceae,,US,US,US 26206,E. P. Thompson & F. M. Bishop,Astragalus thompsonae,Type Collection,,
recorded,1319864649,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/375c26d79-8a02-4436-ad74-78bcfc1b8d85,PRESERVED_SPECIMEN,,,,United States,US,,1873,Plantae,Nyctaginaceae,,US,US,US 22753,E. P. Thompson,Oxybaphus glaber,Type Collection,,
recorded,1320555720,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/394573da5-c01a-474c-96de-f69f91e4692b,PRESERVED_SPECIMEN,,,,United States,US,,1872,Plantae,Hydrangeaceae,,US,US,US 48122,E. P. Thompson,Whipplea utahensis,Type Collection,,
