action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
recorded,2573405532,7c5e863f-3f70-4933-b05d-fc57c66dd3f3,CC_BY_4_0,4cf5f33d-dfc1-42ca-bede-7e342f2cd903,PRESERVED_SPECIMEN,,,,United States,US,1937-07-00,1937,Plantae,Ranunculaceae,,COLO,V,637769,Mary Vaux Walcott,Anemonastrum narcissiflorum ssp. zephyrum,,,
recorded,2236018420,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/39e79e03d-07e6-450f-bbfe-edfd70af3659,PRESERVED_SPECIMEN,,,,Canada,CA,,1918,Plantae,Ericaceae,,US,US,US 888542,M. Walcott,Vaccinium caespitosum,,,
recorded,1316583402,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/30a766e9f-e039-4718-8bd9-f3e589a18814,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Orthidae,,USNM,Paleobiology,USNM PAL91470A,C. Walcott & M. Walcott,Archaeorthis parviuscula,Syntype,,
recorded,1316613891,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3168354e3-4f49-4033-ae40-291ba08854e2,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Hesperonomiidae,Ulrich; Cooper,USNM,Paleobiology,USNM PAL91556,C. Walcott & M. Walcott,Hesperonomia iones,,,
recorded,1316661905,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/329894e86-db2c-4cf2-bab3-41082b076b31,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Thecidellinidae,,USNM,Paleobiology,USNM PAL91735,C. Walcott & M. Walcott,Tritoechia occidentalis,Paratype,,
recorded,1316676386,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/32f3ce2c5-4e18-4d66-9bda-9c30c9797a8e,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Thecidellinidae,,USNM,Paleobiology,USNM PAL91730,C. Walcott & M. Walcott,Tritoechia hemipyramidata,Holotype,,
recorded,1316683386,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3320ef21f-daf9-4cb5-a4e1-a18aa8986043,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Tetralobulidae,,USNM,Paleobiology,USNM PAL91169,C. Walcott & M. Walcott,Syntrophopsis transversa,,,
recorded,1316733899,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/34600e896-006d-43ef-949a-bd60090e8058,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Orthidae,,USNM,Paleobiology,USNM PAL91470C,C. Walcott & M. Walcott,Archaeorthis parviuscula,Syntype,,
recorded,1316761161,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/350bcf1ee-dbea-455c-a759-4524a92d1f9d,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Orthidae,,USNM,Paleobiology,USNM PAL91470D,C. Walcott & M. Walcott,Archaeorthis parviuscula,Syntype,,
recorded,1316771935,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/35508867b-4d7f-4963-82c4-6727e8ab2605,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Siphonotretidae,Ulrich; Cooper,USNM,Paleobiology,USNM PAL92827B,C. Walcott & M. Walcott,Siphonotreta tertia,,,
recorded,1316772142,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3551acf2c-c0f5-45af-a978-95b95bbbb347,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Hesperonomiidae,,USNM,Paleobiology,USNM PAL91551B,C. Walcott & M. Walcott,Hesperonomia crassa,Syntype,,
recorded,1316780416,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/35868518f-6792-4fae-865b-80ed1af56e75,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Polytoechiidae,,USNM,Paleobiology,USNM PAL92863,C. Walcott & M. Walcott,Pomatotrema sp,,,
recorded,1316796432,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/35ecf969c-e635-402f-b5c6-4490a6252858,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Finkelnburgiidae,,USNM,Paleobiology,USNM PAL92859A,C. Walcott & M. Walcott,Diparelasma parvum,Syntype,,
recorded,1316820716,c8681cc2-9d0a-4c5f-b620-5c753abfe2bc,CC0_1_0,http://n2t.net/ark:/65665/3686f0df0-6dc3-4253-aafa-f9003f782f02,FOSSIL_SPECIMEN,,,,Canada,CA,,,Animalia,Siphonotretidae,Ulrich; Cooper,USNM,Paleobiology,USNM PAL92827A,C. Walcott & M. Walcott,Siphonotreta tertia,,,
