action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,2815037309,c257bd77-512e-42d7-b54b-86f8080eafc5,CC_BY_4_0,55474-Occurrence-12,PRESERVED_SPECIMEN,,33.62056,-100.3225,United States of America,US,1968-06-18T00:00:00,1968,Animalia,Curculionidae,R. E. Warner,TTU,TTU-Z,TTU-Z_219297,Wayne H. Swenson,"Compsus auricephalus Say, 1824",Other material,,
identified,2815037307,c257bd77-512e-42d7-b54b-86f8080eafc5,CC_BY_4_0,55474-Occurrence-13,PRESERVED_SPECIMEN,,33.62056,-100.3225,United States of America,US,1968-06-07T00:00:00,1968,Animalia,Curculionidae,R. E. Warner,TTU,TTU-Z,TTU-Z_219298,Wayne H. Swenson,"Compsus auricephalus Say, 1824",Other material,,
identified,2815037306,c257bd77-512e-42d7-b54b-86f8080eafc5,CC_BY_4_0,55474-Occurrence-14,PRESERVED_SPECIMEN,,33.62056,-100.3225,United States of America,US,1968-06-18T00:00:00,1968,Animalia,Curculionidae,R. E. Warner,TTU,TTU-Z,TTU-Z_219299,Wayne H. Swenson,"Compsus auricephalus Say, 1824",Other material,,
identified,2815037305,c257bd77-512e-42d7-b54b-86f8080eafc5,CC_BY_4_0,55474-Occurrence-15,PRESERVED_SPECIMEN,,33.62056,-100.3225,United States of America,US,1968-06-28T00:00:00,1968,Animalia,Curculionidae,R. E. Warner,TTU,TTU-Z,TTU-Z_219300,Wayne H. Swenson,"Compsus auricephalus Say, 1824",Other material,,
identified,1571774656,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,2bb1b130-a76a-45c3-94ce-92c271f8bf79,PRESERVED_SPECIMEN,,38.720945,-75.076014,USA,US,4/12/60,1960,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064237,W.A. Connel,Hypera nigrirostris,None,,
identified,1571774643,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,88db1cc3-c60f-4593-885f-b486ccb07363,PRESERVED_SPECIMEN,1957,,,USA,US,5/24/51,1951,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064204,H.E. Milliron,Ceutorhynchus lesquerellae,None,,
identified,1571774615,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,53fd4aed-f380-4fdd-b68d-6993f4ead215,PRESERVED_SPECIMEN,1957,,,USA,US,5/24/51,1951,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064205,H.E. Milliron,Ceutorhynchus lesquerellae,None,,
identified,1571774576,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,5fafb994-b5ea-4aa0-8e18-5681a1160549,PRESERVED_SPECIMEN,1966,,,USA,US,7/13/88,1988,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064122,,Conotrachelus nenuphar,None,,
identified,1571774571,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,95fac97c-4acf-4834-a0c0-fc123a012109,PRESERVED_SPECIMEN,,,,USA,US,4/10/53,1953,Animalia,Nemonychidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064228,H.E. Milliron,Cimberis pilosus,None,,
identified,1571774545,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,79f9d57f-f9bb-410f-bdd4-1098717ad83d,PRESERVED_SPECIMEN,1957,,,USA,US,5/24/51,1951,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064203,H.E. Milliron,Ceutorhynchus lesquerellae,None,,
identified,1571774524,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,72a7b630-5edf-45d9-abe9-ab060bf22fc1,PRESERVED_SPECIMEN,,,,USA,US,4/23/59,1959,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064086,W.A. Connel,Hypera postica,None,,
identified,1571774499,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,15d3924c-7f19-4ee6-8b87-ffabc01e129c,PRESERVED_SPECIMEN,1963,,,USA,US,1959-05-00,1959,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064083,W.A. Connel,Hypera rumicis,None,,
identified,1571774477,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,22e8e340-a1c8-4e14-ab80-5a2fb47b7c30,PRESERVED_SPECIMEN,,,,USA,US,6/13/01,1901,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064123,,Conotrachelus nenuphar,None,,
identified,1571774459,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,d8638139-82b5-4e4a-a37f-33583503a073,PRESERVED_SPECIMEN,1963,,,USA,US,1959-05-00,1959,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064084,W.A. Connel,Hypera rumicis,None,,
identified,1571774427,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,04a743c8-ad17-4ac9-982f-d5445aa1b68c,PRESERVED_SPECIMEN,1963,,,USA,US,5/26/59,1959,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064082,W.A. Connel,Hypera rumicis,None,,
identified,1571774415,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,7f3c434e-6f3f-4a0a-9041-6614bb13680e,PRESERVED_SPECIMEN,,,,USA,US,6/12/63,1963,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064087,W.A. Connel,Hypera postica,None,,
identified,1571774374,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,cf0ae56c-cf66-4597-bbac-767e58f90474,PRESERVED_SPECIMEN,,,,USA,US,7/13/66,1966,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064002,,Listronotus caudatus,None,,
identified,1571774350,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,1287501c-27f3-4763-a7a3-05cc5008ec43,PRESERVED_SPECIMEN,,,,USA,US,7/13/66,1966,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064010,,Listronotus tuberosus,None,,
identified,1571774348,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,37d9fb5a-7f8f-457b-8543-b3037c58a6fc,PRESERVED_SPECIMEN,,,,USA,US,7/13/66,1966,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00064007,,Listronotus appendiculatus,None,,
identified,1571774284,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,1e2fcc48-d409-4adf-9032-fc82aab8f4fb,PRESERVED_SPECIMEN,1963,,,USA,US,5/16/63,1963,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00063782,W.R Hickman,Mononychus vulpeculus,None,,
identified,1571774235,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,0d814f1d-e7ca-44d6-9b45-d015ced12d37,PRESERVED_SPECIMEN,,,,USA,US,8/10/60,1960,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00063774,,Tachypterellus quadrigibbus,None,,
identified,1571774234,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,ec960fe4-dab1-4f84-93c8-5e6512f0f447,PRESERVED_SPECIMEN,1963,,,USA,US,5/16/63,1963,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00063789,W.R Hickman,Mononychus vulpeculus,None,,
identified,1571774203,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,5afd434a-68ab-4dd4-a6b6-eeae4c8c0024,PRESERVED_SPECIMEN,1972,,,USA,US,7/4/66,1966,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00063785,Donald MacCreary,Oedophrys hilleri,None,,
identified,1571774190,0108bdc9-3d7f-459a-a92e-a40c3ed07c93,CC_BY_NC_4_0,5bed0768-3907-4c4d-bf12-468da8c3a80d,PRESERVED_SPECIMEN,1972,,,USA,US,7/4/66,1966,Animalia,Curculionidae,R.E. Warner,UD,UDCC,UDCC_TCN 00063786,Donald MacCreary,Oedophrys hilleri,None,,
identified,2628934378,5e874d56-5dd9-474b-a02b-e077624f2db2,CC_BY_4_0,urn:catalog:DGSV-SENASICA:CE-DGSV:CNRF-13.73.22:e2c26b8121e36e436ff11337be8744ec,PRESERVED_SPECIMEN,,,,,,1969,1969,Animalia,Curculionidae,R. E. Warner,DGSV-SENASICA,CE-DGSV,CNRF-13.73.22,NO DISPONIBLE,Anthonomus vestitus,NO APLICA,,
identified,3897368875,ba9984d8-d982-4fe6-b81c-a7585790034a,CC0_1_0,9f105b6f-6046-45ea-98a2-39ad55ab4d9b,PRESERVED_SPECIMEN,,30.02,-104.56,United States,US,7/30/71,1971,Animalia,Curculionidae,"Warner, R. E.",UTIC,Biospeleology,TMM18910,Tony R. Mollhagen|Brian Chapman,Onychobaris mystica,,,
identified,3795232588,e7fa4cc1-52a1-4859-b876-bcb45e9ca809,CC_BY_NC_4_0,NYSM-ENT_0003873,PRESERVED_SPECIMEN,,,,Colombia,CO,1969-07-00,1969,Animalia,Curculionidae,"Warner, R.E.",NYSM,ENT,ENT_0003873,"dePolania, I.Z.",Premnotrypes vorax,,,
