action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1322860746,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fa58225b-b504-4e23-8c39-38e9ad826afc,PRESERVED_SPECIMEN,,5.98,-82.93,,PA,,1928,Animalia,Pontoeciellidae,"Wilson, Mildred S.",USNM,IZ,USNM 64003,,Danodes plumata,Syntype,,
identified,1322282447,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3e0bb4d50-e96c-4eb9-b6d6-b8774069f116,PRESERVED_SPECIMEN,,,,United States,US,,1955,Animalia,Canthocamptidae,"Wilson, Mildred S.",USNM,IZ,USNM 204771,E. Reed,Bryocamptus umiatensis,Syntype,,
identified,1322036278,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3d5dbce33-dc0a-4a0f-b4e5-78e60fc55ba6,PRESERVED_SPECIMEN,,,,United States,US,,1940,Animalia,Diaptomidae,"Wilson, Mildred S.",USNM,IZ,USNM 94624,G. Castle,Diaptomus novemdecimus,Syntype,,
identified,1318174322,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/32af84e4b-c2be-485d-8501-2afdb5810f6c,PRESERVED_SPECIMEN,,60,-159,United States,US,,1954,Animalia,Canthocamptidae,"Wilson, Mildred S.",USNM,IZ,USNM 173109,O. Mathisen,Attheyella alaskaensis,Syntype,,
identified,1317965648,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/321bfa33e-cf21-4b21-96c3-f139ce308b58,PRESERVED_SPECIMEN,,-1.53,-82.27,,EC,,1928,Animalia,Phaennidae,"Wilson, Mildred S.",USNM,IZ,USNM 64004,,Onchocalanus nudipes,Syntype,,
identified,1322971996,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ff45587a-5a7f-4f69-9dba-d69be8dbbf52,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Pseudocyclopidae,"Wilson, Mildred S.",USNM,IZ,USNM 99520,C. Shoemaker,Ridgewayia shoemakeri,Paratype,,
identified,1322863873,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3fa7bc6a2-f0c3-4446-906a-91c81a081da4,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Pseudocyclopidae,"Wilson, Mildred S.",USNM,IZ,USNM 99516,C. Shoemaker,Ridgewayia gracilis,Paratype,,
identified,1322581316,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3edeefc00-44d3-4b8e-b36b-8f730351d5b3,PRESERVED_SPECIMEN,,30.7964,-89.8465,United States,US,,1952,Animalia,Diaptomidae,"Wilson, Mildred S.; Moore, W. G.",USNM,IZ,USNM 210309,W. Moore,Diaptomus bogalusensis marii,Paratype,,
identified,1322214607,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ddb93c78-bf98-4a35-886c-2ed3c2499313,PRESERVED_SPECIMEN,,,,United States,US,,1946,Animalia,Caligidae,"Wilson, Mildred S.",USNM,IZ,USNM 85975,G. Macgintie,Pupulina minor,Paratype,,
identified,1322157156,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3db310f88-bc38-4b2d-a338-1202c0b09532,PRESERVED_SPECIMEN,,,,United States,US,,1954,Animalia,Canthocamptidae,"Wilson, Mildred S.",USNM,IZ,USNM 99418,O. Mathisen,Paracamptus reductus,Paratype,,
identified,1321679122,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3c5fadf1c-9e05-4601-99df-057906f1b602,PRESERVED_SPECIMEN,,,,United States,US,,1946,Animalia,Caligidae,"Wilson, Mildred S.",USNM,IZ,USNM 85978,G. Macgintie,Pupulina brevicauda,Paratype,,
identified,1321529039,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bf524bdf-547a-4996-b977-b5fa604600a3,PRESERVED_SPECIMEN,,,,Guatemala,GT,,1910,Animalia,Diaptomidae,"Wilson, Mildred S.",USNM,IZ,USNM 79367,C. Juday,Diaptomus amatitlanensis,Paratype,,
identified,1321485031,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3bd60e78a-e1ba-4832-ab2b-69ca0080fd1e,PRESERVED_SPECIMEN,,30.8005,-92.2798,United States,US,,1950,Animalia,Diaptomidae,"Wilson, Mildred S.; Moore, W. G.",USNM,IZ,USNM 210737,W. Moore,Diaptomus louisianensis,Paratype,,
identified,1321358017,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3b7cb014b-e912-45d3-a389-cee2197493d4,PRESERVED_SPECIMEN,,,,United States,US,,1926,Animalia,Pseudocyclopidae,"Wilson, Mildred S.",USNM,IZ,USNM 99521,C. Shoemaker,Ridgewayia shoemakeri,Paratype,,
identified,1321137951,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3ae0a90ca-0eb8-4871-bd65-c61c3dd68fee,PRESERVED_SPECIMEN,,30.5324,-84.3616,United States,US,,1950,Animalia,Diaptomidae,"Wilson, Mildred S.",USNM,IZ,USNM 210711,M. Voth,Diaptomus marshianus,Paratype,,
identified,1320877822,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3a28f7710-ba05-449d-943d-b7bb57bd20ab,PRESERVED_SPECIMEN,,,,United States,US,,1954,Animalia,Diaptomidae,"Wilson, Mildred S.",USNM,IZ,USNM 210683,J. Sublette,Diaptomus dilobatus,Paratype,,
