action	year	country	count
identified	1833	India	1
identified	1838	Fiji	1
identified	1847	United States	3
identified	1851	Marshall Islands	1
identified	1851	United States	2
identified	1852	United States	2
identified	1853	United States	3
identified	1854	Japan	1
identified	1854	United States	5
identified	1856	United States	1
identified	1857	Colombia	1
identified	1857	United States	1
identified	1858	Haiti	1
identified	1858	United States	4
identified	1859	Bahamas	2
identified	1859	Brazil	2
identified	1859	Mexico	4
identified	1859	Tanzania	1
identified	1859	United States	15
identified	1859	Venezuela	3
identified	1860	Kiribati	1
identified	1860	United States	4
identified	1860	Virgin Islands of the United States	1
identified	1861	French Polynesia	1
identified	1861	United States	4
identified	1862	Tanzania	1
identified	1863	Brazil	2
identified	1863	Panama	1
identified	1863	United States	5
identified	1864	French Polynesia	1
identified	1864	Marshall Islands	1
identified	1864	United States	4
identified	1865	Brazil	14
identified	1865	Burma	1
identified	1865	Guatemala	1
identified	1865	Haiti	1
identified	1865	Tanzania	3
identified	1866	Brazil	3
identified	1866	Guatemala	1
identified	1868	United States	3
identified	1869	Nicaragua	1
identified	1869	Panama	2
identified	1869	United States	2
identified	1871	Barbados	1
identified	1871	Federated States of Micronesia	1
identified	1871	India	1
identified	1871	United States	19
identified	1871	Virgin Islands of the United States	3
identified	1872	Argentina	4
identified	1872	Brazil	8
identified	1872	Canada	2
identified	1872	Chile	5
identified	1872	Cuba	1
identified	1872	Ecuador	4
identified	1872	Mexico	4
identified	1872	Panama	2
identified	1872	Peru	1
identified	1872	United States	41
identified	1873	Brazil	2
identified	1873	Mauritius	3
identified	1873	United States	51
identified	1874	United States	121
identified	1875	Brazil	76
identified	1875	New Zealand	1
identified	1875	United States	26
identified	1876	Bermuda	7
identified	1876	United States	8
identified	1876	Vietnam	1
identified	1877	Bermuda	1
identified	1877	Canada	4
identified	1877	Japan	1
identified	1877	Lebanon	1
identified	1877	Micronesia	2
identified	1877	New Zealand	1
identified	1877	Nicaragua	1
identified	1877	Thailand	2
identified	1877	United States	15
identified	1878	Argentina	1
identified	1878	Canada	1
identified	1878	Dominican Republic	4
identified	1878	Greenland	1
identified	1878	Haiti	1
identified	1878	Japan	1
identified	1878	Mexico	2
identified	1878	Republic of Trinidad and Tobago	1
identified	1878	Trinidad and Tobago	13
identified	1878	United States	10
identified	1879	Barbados	10
identified	1879	British Virgin Islands	2
identified	1879	Commonwealth of the Bahamas	1
identified	1879	Dominica	3
identified	1879	Grenada	3
identified	1879	Martinique	1
identified	1879	Montserrat	1
identified	1879	Russia	1
identified	1879	Saba	1
identified	1879	Saint Kitts and Nevis	2
identified	1879	Trinidad and Tobago	1
identified	1879	United States	24
identified	1879	Virgin Islands of the United States	5
identified	1880	Canada	4
identified	1880	France	1
identified	1880	Madagascar	1
identified	1880	Mexico	5
identified	1880	Philippines	1
identified	1880	Russia	12
identified	1880	United States	285
identified	1881	China	1
identified	1881	Japan	24
identified	1881	Mexico	5
identified	1881	United States	86
identified	1882	Bermuda	1
identified	1882	Canada	3
identified	1882	Guatemala	1
identified	1882	Laos	1
identified	1882	Mexico	2
identified	1882	Russia	12
identified	1882	Spain	1
identified	1882	United States	62
identified	1883	Canada	1
identified	1883	Colombia	2
identified	1883	French Polynesia	2
identified	1883	Greenland	2
identified	1883	Russia	5
identified	1883	Samoa	2
identified	1883	South Korea	7
identified	1883	United States	70
identified	1883	Western Sahara	1
identified	1883	Western Samoa	1
identified	1884	Canada	1
identified	1884	China	1
identified	1884	Colombia	59
identified	1884	Cuba	21
identified	1884	Curacao	13
identified	1884	Ecuador	3
identified	1884	Greenland	8
identified	1884	Jamaica	45
identified	1884	Korea	1
identified	1884	Netherlands Antilles	8
identified	1884	Panama	9
identified	1884	Peru	6
identified	1884	Russia	9
identified	1884	Trinidad And Tobago	6
identified	1884	Trinidad and Tobago	22
identified	1884	United Kingdom	2
identified	1884	United States	142
identified	1884	Venezuela	8
identified	1884	Virgin Islands of the United States	44
identified	1884	West Indies	3
identified	1885	Canada	7
identified	1885	Cuba	22
identified	1885	Japan	2
identified	1885	Mexico	37
identified	1885	Russia	4
identified	1885	South Korea	5
identified	1885	United States	366
identified	1886	Bahamas	52
identified	1886	Canada	4
identified	1886	Commonwealth of the Bahamas	1
identified	1886	Japan	1
identified	1886	South Korea	6
identified	1886	United States	44
identified	1886	Uruguay	1
identified	1887	Brazil	20
identified	1887	Canada	1
identified	1887	Honduras	2
identified	1887	Indonesia	4
identified	1887	Mexico	1
identified	1887	Montserrat	5
identified	1887	Saint Lucia	1
identified	1887	St. Lucia	7
identified	1887	United States	43
identified	1888	Argentina	32
identified	1888	Australia	1
identified	1888	Bahamas	8
identified	1888	Brazil	1
identified	1888	Canada	39
identified	1888	Chile	53
identified	1888	Ecuador	34
identified	1888	Mexico	134
identified	1888	Panama	48
identified	1888	United States	218
identified	1888	Uruguay	1
identified	1889	Canada	2
identified	1889	Cape Verde	1
identified	1889	Democratic Republic of the Congo	1
identified	1889	Ghana	3
identified	1889	Mexico	170
identified	1889	United States	244
identified	1890	Bahamas	1
identified	1890	Barbados	1
identified	1890	Canada	3
identified	1890	Japan	4
identified	1890	Russia	1
identified	1890	United States	571
identified	1891	Costa Rica	5
identified	1891	Honduras	2
identified	1891	Jamaica	1
identified	1891	Japan	2
identified	1891	Mauritius	1
identified	1891	Mexico	13
identified	1891	Panama	5
identified	1891	United States	326
identified	1892	Azores	1
identified	1892	Costa Rica	1
identified	1892	Japan	2
identified	1892	Mexico	10
identified	1892	Nicaragua	12
identified	1892	Senegal	1
identified	1892	United States	86
identified	1893	Azores	3
identified	1893	Bahamas	29
identified	1893	Canada	4
identified	1893	Cuba	12
identified	1893	Jamaica	25
identified	1893	Japan	6
identified	1893	Madagascar	1
identified	1893	United States	247
identified	1894	Azores	2
identified	1894	Canada	1
identified	1894	Germany	1
identified	1894	Japan	8
identified	1894	Liberia	9
identified	1894	Mexico	8
identified	1894	Portugal	2
identified	1894	Spain	1
identified	1894	United States	81
identified	1895	Brazil	1
identified	1895	Canada	1
identified	1895	Costa Rica	1
identified	1895	Germany	1
identified	1895	Japan	1
identified	1895	Liberia	1
identified	1895	Mexico	1
identified	1895	Russia	1
identified	1895	United States	68
identified	1895	Venezuela	4
identified	1896	Australia	2
identified	1896	Brazil	5
identified	1896	Costa Rica	5
identified	1896	Democratic Republic of the Congo	1
identified	1896	Greenland	6
identified	1896	Jamaica	20
identified	1896	Japan	11
identified	1896	Mexico	15
identified	1896	Russia	42
identified	1896	Thailand	2
identified	1896	United States	50
identified	1897	Bahamas	1
identified	1897	Canada	2
identified	1897	Costa Rica	1
identified	1897	Fiji	1
identified	1897	Liberia	1
identified	1897	Mexico	9
identified	1897	United States	84
identified	1897	Uruguay	2
identified	1898	Bahamas	3
identified	1898	Brazil	1
identified	1898	Canada	24
identified	1898	Ecuador	2
identified	1898	Jamaica	1
identified	1898	Mexico	1
identified	1898	Puerto Rico	4
identified	1898	United States	72
identified	1899	Brazil	71
identified	1899	Burma	3
identified	1899	Canada	2
identified	1899	Ecuador	18
identified	1899	Fiji	2
identified	1899	French Polynesia	145
identified	1899	Indonesia	18
identified	1899	Kiribati	3
identified	1899	Malaysia	3
identified	1899	Mexico	5
identified	1899	New Caledonia	3
identified	1899	Panama	2
identified	1899	Puerto Rico	474
identified	1899	Singapore	4
identified	1899	Thailand	14
identified	1899	Tonga	17
identified	1899	Tuvalu	22
identified	1899	United States	34
identified	1899	Virgin Islands of the United States	19
identified	1900	Argentina	1
identified	1900	Australia	1
identified	1900	Burma	16
identified	1900	Cambodia	6
identified	1900	Canada	1
identified	1900	Cuba	32
identified	1900	Federated States of Micronesia	9
identified	1900	Guam	2
identified	1900	Indonesia	3
identified	1900	Japan	160
