action	year	country	count
identified	1722	United States	1
identified	1775	French Guiana	1
identified	1816	Brazil	4
identified	1827	Mexico	1
identified	1829 - 1830	Mexico	1
identified	1831	Chili	2
identified	1833	Brazil	4
identified	1839	Brazil	4
identified	1840	Brazil	4
identified	1841	Mexico	1
identified	1842	United States	1
identified	1843	Colombia	3
identified	1843	United States	2
identified	1843	Venezuela	2
identified	1844	United States	1
identified	1845	Philippines	1
identified	1845	United States	2
identified	1846	United States	1
identified	1846 - 1852	Colombia	2
identified	1847	United States	3
identified	1848	Cuba	2
identified	1848	United States	1
identified	1849	Australia	2
identified	1849	United States	1
identified	1851	Mexico	3
identified	1851	United States	2
identified	1851 - 1857	Colombia	1
identified	1852	United States	1
identified	1853	Colombia	1
identified	1855	Colombia	2
identified	1857 - 1858	Bolivia	1
identified	1858	Bolivia	1
identified	1858	United States	2
identified	1859	Ecuador	1
identified	1860	United States	1
identified	1860 - 1864	Cuba	1
identified	1861	United States	1
identified	1864	Bolivia	1
identified	1865	Mexico	3
identified	1866	Mexico	1
identified	1866	United States	8
identified	1868	United States	2
identified	1869	United States	2
identified	1874	Paraguay	1
identified	1874	United States	1
identified	1875	United States	2
identified	1876	United States	3
identified	1877	Argentina	1
identified	1878	Mexico	2
identified	1879	Guatemala	2
identified	1880	Mexico	1
identified	1881	United States	3
identified	1882	United States	1
identified	1884	United States	1
identified	1885	United States	14
identified	1886	Bolivia	1
identified	1886	Mexico	4
identified	1886	United States	1
identified	1887	Brazil	9
identified	1888	Brazil	7
identified	1889	Brazil	2
identified	1889	Mexico	2
identified	1890	Bolivia	1
identified	1890	United States	2
identified	1891	Brazil	1
identified	1891	Mexico	2
identified	1891	United States	2
identified	1892	Brazil	6
identified	1892	Mexico	4
identified	1892	United States	4
identified	1893	Brazil	6
identified	1893	Mexico	2
identified	1893	United States	5
identified	1894	Brazil	10
identified	1894	Mexico	4
identified	1894	United States	4
identified	1895	Brazil	1
identified	1895	Mexico	4
identified	1895	United States	4
identified	1896	Brazil	4
identified	1896	Mexico	2
identified	1896	United States	1
identified	1897	Brazil	6
identified	1897	Mexico	1
identified	1898	Brazil	2
identified	1898	Colombia	1
identified	1898	Mexico	1
identified	1898 - 1899	Bolivia	1
identified	1898 - 1899	Paraguay	4
identified	1898/1901	Colombia	1
identified	1899	Brazil	1
identified	1899	Mexico	2
identified	1899	United States	1
identified	1900	Brazil	9
identified	1900	Mexico	2
identified	1901	Brazil	12
identified	1901	Mexico	2
identified	1901	United States	3
identified	1901 - 1902	Paraguay	3
identified	1902	Australia	1
identified	1902	Bolivia	1
identified	1902	Brazil	4
identified	1902	Democratic Republic of the Congo 	5
identified	1902	United States	1
identified	1903	Argentina	3
identified	1903	Democratic Republic of the Congo 	4
identified	1903	Mexico	6
identified	1903	Nicaragua	4
identified	1903	United States	1
identified	1904	Brazil	1
identified	1904	Democratic Republic of the Congo 	4
identified	1904	Mexico	2
identified	1904	United States	1
identified	1905	Brazil	6
identified	1905	Paraguay	2
identified	1906	Brazil	14
identified	1906	Mexico	5
identified	1907	Brazil	21
identified	1907	United States	1
identified	1907	Paraguay	1
identified	1907 - 1908	Paraguay	2
identified	1908	Brazil	4
identified	1908	Mexico	1
identified	1908	United States	1
identified	1909	United States	5
identified	1910	Mexico	5
identified	1911	United States	1
identified	1911	Mexico	2
identified	1911	United States	1
identified	1912	Brazil	14
identified	1913	Brazil	11
identified	1913	Canada	3
identified	1913	Mexico	3
identified	1913	United States	2
identified	1914	Brazil	3
identified	1915	Brazil	4
identified	1916	Australia	1
identified	1917	Brazil	11
identified	1917	Colombia	1
identified	1917	United States	1
identified	1917	Venezuela	1
identified	1918	Brazil	20
identified	1918	United States	1
identified	1919	Brazil	9
identified	1919	Guatemala	1
identified	1919	Mexico	3
identified	1920	Brazil	14
identified	1920	United States	3
identified	1921	Argentina	1
identified	1921	Brazil	8
identified	1921	French Guiana	1
identified	1921	Indeterminado	1
identified	1921	Mexico	1
identified	1921	United States	6
identified	1921	Venezuela	1
identified	1922	Brazil	2
identified	1922	United States	1
identified	1923	Brazil	3
identified	1923	United States	1
identified	1923	United States	1
identified	1924	Brazil	3
identified	1924	Guyana	1
identified	1924	United States	2
identified	1925	Brazil	2
identified	1925	United States	9
identified	1926	Brazil	4
identified	1926	United States	1
identified	1926	Mexico	2
identified	1926	United States	6
identified	1927	Brazil	12
identified	1927	United States	18
identified	1928	Bolivia	1
identified	1928	Brazil	2
identified	1928	United States	1
identified	1928	United States	16
identified	1929	Brazil	16
identified	1929	Mexico	7
identified	1929	United States	24
identified	1930	Bolivia	1
identified	1930	Brazil	83
identified	1930	United States	3
identified	1930	Mexico	7
identified	1930	United States	44
identified	1931	Belize	2
identified	1931	Brazil	24
identified	1931	Canada	1
identified	1931	Mexico	11
identified	1931	Peru	2
identified	1931	United States	201
identified	1932	Antofagasta	1
identified	1932	Australia	1
identified	1932	Bolivia	4
identified	1932	Brazil	6
identified	1932	Mexico	5
identified	1932	United States	95
identified	1933	Belize	2
identified	1933	Brazil	1
identified	1933	Mexico	10
identified	1933	United States	122
identified	1934	Brazil	12
identified	1934	Guatemala	1
identified	1934	Mexico	4
identified	1934	Suriname	1
identified	1934	United States	65
identified	1935	Bolivia	1
identified	1935	Brazil	7
identified	1935	Colombia	1
identified	1935	United States	1
identified	1935	Ecuador	5
identified	1935	Guatemala	3
identified	1935	Mexico	22
identified	1935	United States	239
identified	1936	Argentina	3
